file_name,overall_nodes,overall_edges,loop_nodes,loop_edges,branch_nodes,branch_edges
CPP_97.dot,0,0,0,0,0,0
CPP_62.dot,0,0,0,0,0,0
CPP_114.dot,0,0,0,0,0,0
CPP_36.dot,0,0,0,0,0,0
CPP_72.dot,8,10,2,2,3,6
CPP_30.dot,0,0,0,0,0,0
CPP_55.dot,0,0,0,0,0,0
CPP_64.dot,0,0,0,0,0,0
CPP_56.dot,0,0,0,0,0,0
CPP_98.dot,0,0,0,0,0,0
CPP_71.dot,0,0,0,0,0,0
CPP_78.dot,10,16,7,12,7,14
CPP_163.dot,0,0,0,0,0,0
CPP_159.dot,0,0,0,0,0,0
CPP_138.dot,0,0,0,0,0,0
CPP_3.dot,0,0,0,0,0,0
CPP_80.dot,7,11,0,0,5,10
CPP_24.dot,0,0,0,0,0,0
CPP_11.dot,15,24,0,0,9,18
CPP_12.dot,0,0,0,0,0,0
CPP_4.dot,0,0,0,0,0,0
CPP_109.dot,0,0,0,0,0,0
CPP_151.dot,7,11,0,0,4,8
CPP_39.dot,0,0,0,0,0,0
CPP_135.dot,0,0,0,0,0,0
CPP_43.dot,0,0,0,0,0,0
CPP_31.dot,0,0,0,0,0,0
CPP_2.dot,0,0,0,0,0,0
CPP_102.dot,0,0,0,0,0,0
CPP_157.dot,0,0,0,0,0,0
CPP_133.dot,0,0,0,0,0,0
CPP_82.dot,0,0,0,0,0,0
CPP_23.dot,0,0,0,0,0,0
CPP_134.dot,10,15,0,0,6,12
CPP_128.dot,0,0,0,0,0,0
CPP_61.dot,0,0,0,0,0,0
CPP_150.dot,0,0,0,0,0,0
CPP_9.dot,0,0,0,0,0,0
CPP_76.dot,0,0,0,0,0,0
CPP_83.dot,0,0,0,0,0,0
CPP_46.dot,0,0,0,0,0,0
CPP_108.dot,0,0,0,0,0,0
CPP_41.dot,0,0,0,0,0,0
CPP_42.dot,0,0,0,0,0,0
CPP_92.dot,0,0,0,0,0,0
CPP_63.dot,0,0,0,0,0,0
CPP_66.dot,11,18,0,0,7,14
CPP_99.dot,4,3,0,0,0,0
CPP_45.dot,0,0,0,0,0,0
CPP_121.dot,8,13,0,0,5,10
CPP_0.dot,0,0,0,0,0,0
CPP_60.dot,0,0,0,0,0,0
CPP_8.dot,0,0,0,0,0,0
CPP_68.dot,0,0,0,0,0,0
CPP_75.dot,0,0,0,0,0,0
CPP_52.dot,0,0,0,0,0,0
CPP_35.dot,0,0,0,0,0,0
CPP_100.dot,16,19,10,12,4,8
CPP_77.dot,0,0,0,0,0,0
CPP_40.dot,0,0,0,0,0,0
CPP_136.dot,0,0,0,0,0,0
CPP_85.dot,0,0,0,0,0,0
CPP_139.dot,0,0,0,0,0,0
CPP_57.dot,0,0,0,0,0,0
CPP_59.dot,0,0,0,0,0,0
CPP_132.dot,0,0,0,0,0,0
CPP_91.dot,0,0,0,0,0,0
CPP_73.dot,0,0,0,0,0,0
CPP_152.dot,0,0,0,0,0,0
CPP_142.dot,0,0,0,0,0,0
CPP_49.dot,0,0,0,0,0,0
CPP_122.dot,11,18,0,0,7,14
CPP_13.dot,3,3,0,0,1,2
CPP_53.dot,0,0,0,0,0,0
CPP_126.dot,0,0,0,0,0,0
CPP_127.dot,0,0,0,0,0,0
