file_name,overall_nodes_test,overall_edges_test,loop_nodes_test,loop_edges_test,branch_nodes_test,branch_edges_test,overall_nodes_golden,overall_edges_golden,loop_nodes_golden,loop_edges_golden,branch_nodes_golden,branch_edges_golden,category
CPP_97.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_21.dot,0,0,0,0,0,0,17,28,0,0,12,24,Wrong
CPP_62.dot,19,26,0,0,7,15,21,28,0,0,10,20,Wrong
CPP_114.dot,0,0,0,0,0,0,7,10,0,0,4,8,Wrong
CPP_36.dot,0,0,0,0,0,0,5,8,3,5,4,8,Wrong
CPP_107.dot,0,0,0,0,0,0,35,56,0,0,23,46,Wrong
CPP_17.dot,0,0,0,0,0,0,88,127,43,60,44,88,Wrong
CPP_72.dot,0,0,0,0,0,0,6,8,2,2,3,6,Wrong
CPP_103.dot,0,0,0,0,0,0,35,48,0,0,15,30,Wrong
CPP_48.dot,0,0,0,0,0,0,24,40,0,0,17,34,Wrong
CPP_155.dot,15,18,5,6,4,8,14,20,0,0,8,16,Wrong
CPP_7.dot,0,0,0,0,0,0,15,22,3,3,8,17,Wrong
CPP_87.dot,20,21,4,4,2,4,26,36,3,3,13,26,Wrong
CPP_15.dot,49,70,0,0,14,42,51,74,0,0,25,51,Wrong
CPP_16.dot,0,0,0,0,0,0,31,48,0,0,20,40,Wrong
CPP_30.dot,23,29,18,24,8,16,22,30,3,3,11,22,Overall Completed
CPP_79.dot,0,0,0,0,0,0,60,84,0,0,27,54,Wrong
CPP_55.dot,18,19,0,0,2,4,8,13,0,0,6,12,Wrong
CPP_64.dot,0,0,0,0,0,0,16,27,11,20,5,17,Wrong
CPP_141.dot,27,42,8,12,16,32,27,40,0,0,15,30,Wrong
CPP_56.dot,0,0,0,0,0,0,6,8,2,2,3,6,Wrong
CPP_98.dot,0,0,0,0,0,0,9,14,6,10,6,12,Wrong
CPP_71.dot,28,30,0,0,3,6,3,3,0,0,1,2,Wrong
CPP_74.dot,14,20,2,2,7,14,13,22,0,0,10,20,Wrong
CPP_116.dot,26,35,7,15,8,18,35,51,6,9,19,38,Wrong
CPP_119.dot,0,0,0,0,0,0,57,84,0,0,27,56,Wrong
CPP_144.dot,0,0,0,0,0,0,43,64,19,28,20,44,Wrong
CPP_93.dot,0,0,0,0,0,0,52,79,0,0,26,55,Wrong
