file_name,overall_nodes_test,overall_edges_test,loop_nodes_test,loop_edges_test,branch_nodes_test,branch_edges_test,overall_nodes_golden,overall_edges_golden,loop_nodes_golden,loop_edges_golden,branch_nodes_golden,branch_edges_golden,category
CPP_97.dot,4,3,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_21.dot,17,22,2,2,7,14,17,28,0,0,12,24,Wrong
CPP_62.dot,23,25,0,0,6,12,21,28,0,0,10,20,Wrong
CPP_114.dot,8,10,0,0,3,6,7,10,0,0,4,8,Overall Completed
CPP_36.dot,6,8,0,0,3,6,5,8,3,5,4,8,Overall Completed
CPP_107.dot,31,40,5,6,8,18,35,56,0,0,23,46,Wrong
CPP_17.dot,45,43,0,0,4,8,88,127,43,60,44,88,Wrong
CPP_72.dot,7,9,2,2,3,6,6,8,2,2,3,6,Overall Completed
CPP_103.dot,24,26,0,0,3,6,35,48,0,0,15,30,Wrong
CPP_48.dot,0,0,0,0,0,0,24,40,0,0,17,34,Wrong
CPP_155.dot,20,24,0,0,4,9,14,20,0,0,8,16,Wrong
CPP_7.dot,34,34,0,0,3,6,15,22,3,3,8,17,Wrong
CPP_33.dot,41,45,2,2,7,14,60,87,24,33,32,64,Wrong
CPP_87.dot,21,23,0,0,5,10,26,36,3,3,13,26,Wrong
CPP_15.dot,28,29,0,0,5,10,51,74,0,0,25,51,Wrong
CPP_16.dot,151,150,0,0,0,0,31,48,0,0,20,40,Wrong
CPP_30.dot,0,0,0,0,0,0,22,30,3,3,11,22,Wrong
CPP_120.dot,0,0,0,0,0,0,8,9,0,0,3,6,Wrong
CPP_79.dot,34,34,2,2,5,10,60,84,0,0,27,54,Wrong
CPP_55.dot,8,13,2,3,4,9,8,13,0,0,6,12,Overall Completed
CPP_64.dot,17,25,0,0,1,9,16,27,11,20,5,17,Wrong
CPP_19.dot,66,66,0,0,1,2,202,302,65,95,106,213,Wrong
CPP_141.dot,31,32,0,0,5,10,27,40,0,0,15,30,Wrong
CPP_56.dot,7,8,2,2,2,4,6,8,2,2,3,6,Overall Completed
CPP_98.dot,10,12,6,6,3,6,9,14,6,10,6,12,Wrong
CPP_71.dot,3,3,0,0,1,2,3,3,0,0,1,2,Overall Completed
CPP_74.dot,13,17,0,0,4,8,13,22,0,0,10,20,Loop Completed
CPP_125.dot,79,81,0,0,3,6,193,297,67,94,98,204,Wrong
CPP_116.dot,32,38,2,2,9,19,35,51,6,9,19,38,Wrong
CPP_113.dot,16,16,0,0,2,4,82,122,40,56,40,82,Wrong
CPP_119.dot,49,50,0,0,7,15,57,84,0,0,27,56,Wrong
CPP_65.dot,0,0,0,0,0,0,85,130,0,0,45,92,Wrong
CPP_144.dot,33,46,0,0,13,27,43,64,19,28,20,44,Wrong
CPP_93.dot,43,43,0,0,6,12,52,79,0,0,26,55,Wrong
CPP_78.dot,11,14,0,0,1,5,10,16,7,12,7,14,Wrong
CPP_28.dot,30,35,0,0,9,18,29,41,0,0,13,27,Loop Completed
CPP_89.dot,31,37,2,2,8,17,29,41,0,0,13,27,Wrong
CPP_131.dot,118,117,0,0,4,8,9,13,0,0,5,10,Wrong
CPP_6.dot,52,51,0,0,0,0,35,52,0,0,19,39,Wrong
CPP_37.dot,30,31,0,0,2,4,61,88,24,33,32,64,Wrong
CPP_112.dot,38,41,0,0,6,14,140,212,40,61,69,143,Wrong
CPP_84.dot,101,102,0,0,4,8,58,84,0,0,28,56,Wrong
CPP_163.dot,21,27,13,20,8,17,22,29,13,18,10,20,Wrong
CPP_129.dot,35,35,0,0,2,4,54,79,31,45,29,58,Wrong
CPP_159.dot,6,6,0,0,1,2,4,4,0,0,1,2,Wrong
CPP_138.dot,3,2,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_3.dot,7,10,3,5,4,8,6,9,0,0,4,8,Overall Completed
CPP_80.dot,8,10,0,0,2,4,7,11,0,0,5,10,Overall Completed
CPP_24.dot,5,8,4,7,3,6,4,6,2,2,3,6,Branch Completed
CPP_11.dot,15,19,0,0,4,9,14,21,0,0,9,18,Loop Completed
CPP_12.dot,12,15,5,6,3,6,10,13,0,0,5,10,Wrong
CPP_158.dot,54,62,0,0,6,19,67,102,0,0,34,71,Wrong
CPP_4.dot,15,24,0,0,8,17,14,23,0,0,10,20,Overall Completed
CPP_109.dot,12,15,0,0,3,7,10,15,0,0,6,12,Wrong
CPP_151.dot,7,12,0,0,4,9,7,10,4,6,4,8,Wrong
