file_name,overall_nodes_test,overall_edges_test,loop_nodes_test,loop_edges_test,branch_nodes_test,branch_edges_test,overall_nodes_golden,overall_edges_golden,loop_nodes_golden,loop_edges_golden,branch_nodes_golden,branch_edges_golden,category
CPP_97.dot,8,7,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_21.dot,19,23,0,0,4,8,17,28,0,0,12,24,Wrong
CPP_62.dot,6,7,2,3,2,4,21,28,0,0,10,20,Wrong
CPP_114.dot,16,15,0,0,0,0,7,10,0,0,4,8,Wrong
CPP_36.dot,6,9,3,5,4,8,5,8,3,5,4,8,Overall Completed
CPP_72.dot,8,10,2,2,3,6,6,8,2,2,3,6,Wrong
CPP_48.dot,13,12,0,0,0,0,24,40,0,0,17,34,Wrong
CPP_155.dot,0,0,0,0,0,0,14,20,0,0,8,16,Wrong
CPP_16.dot,25,24,0,0,0,0,31,48,0,0,20,40,Wrong
CPP_30.dot,0,0,0,0,0,0,22,30,3,3,11,22,Wrong
CPP_55.dot,24,23,0,0,0,0,8,13,0,0,6,12,Wrong
CPP_64.dot,0,0,0,0,0,0,16,27,11,20,5,17,Wrong
CPP_141.dot,0,0,0,0,0,0,27,40,0,0,15,30,Wrong
CPP_56.dot,10,13,0,0,3,7,6,8,2,2,3,6,Wrong
CPP_98.dot,34,33,0,0,0,0,9,14,6,10,6,12,Wrong
CPP_71.dot,3,3,0,0,1,2,3,3,0,0,1,2,Overall Completed
CPP_74.dot,0,0,0,0,0,0,13,22,0,0,10,20,Wrong
CPP_116.dot,23,30,13,18,9,18,35,51,6,9,19,38,Wrong
CPP_78.dot,0,0,0,0,0,0,10,16,7,12,7,14,Wrong
CPP_28.dot,24,24,0,0,1,2,29,41,0,0,13,27,Wrong
CPP_89.dot,0,0,0,0,0,0,29,41,0,0,13,27,Wrong
CPP_131.dot,0,0,0,0,0,0,9,13,0,0,5,10,Wrong
CPP_6.dot,0,0,0,0,0,0,35,52,0,0,19,39,Wrong
CPP_163.dot,50,52,41,43,3,6,22,29,13,18,10,20,Wrong
CPP_159.dot,5,4,0,0,0,0,4,4,0,0,1,2,Overall Completed
CPP_138.dot,6,5,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_3.dot,10,11,0,0,2,4,6,9,0,0,4,8,Wrong
CPP_80.dot,5,5,0,0,1,2,7,11,0,0,5,10,Wrong
CPP_24.dot,5,7,2,2,3,6,4,6,2,2,3,6,Overall Completed
CPP_11.dot,9,13,2,2,5,10,14,21,0,0,9,18,Wrong
CPP_12.dot,7,8,0,0,2,4,10,13,0,0,5,10,Wrong
CPP_4.dot,0,0,0,0,0,0,14,23,0,0,10,20,Wrong
CPP_109.dot,11,15,2,3,5,10,10,15,0,0,6,12,Overall Completed
CPP_151.dot,9,10,4,5,2,4,7,10,4,6,4,8,Wrong
CPP_39.dot,7,9,0,0,3,6,6,8,4,6,3,6,Overall Completed
CPP_135.dot,38,37,0,0,0,0,7,11,0,0,5,10,Wrong
CPP_43.dot,9,11,0,0,3,6,8,12,5,7,5,10,Overall Completed
CPP_31.dot,7,9,0,0,3,6,5,7,0,0,3,6,Wrong
CPP_2.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_102.dot,6,7,0,0,2,4,4,5,0,0,2,4,Wrong
CPP_157.dot,10,12,0,0,3,6,5,7,0,0,3,6,Wrong
CPP_133.dot,20,20,0,0,1,2,8,11,0,0,4,8,Wrong
CPP_82.dot,15,18,0,0,4,8,5,7,0,0,3,6,Wrong
CPP_23.dot,2,1,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_134.dot,0,0,0,0,0,0,8,13,0,0,6,12,Wrong
CPP_128.dot,21,20,0,0,0,0,8,11,0,0,4,8,Wrong
CPP_61.dot,12,13,0,0,2,4,6,8,2,2,3,6,Wrong
CPP_95.dot,0,0,0,0,0,0,18,31,0,0,13,27,Wrong
CPP_150.dot,5,7,0,0,3,6,3,4,0,0,2,4,Wrong
CPP_9.dot,17,21,2,3,5,11,21,28,0,0,10,20,Wrong
CPP_25.dot,35,36,0,0,2,4,37,51,0,0,18,36,Wrong
CPP_76.dot,5,6,0,0,2,4,3,4,0,0,2,4,Wrong
CPP_83.dot,29,34,0,0,6,12,13,22,0,0,10,20,Wrong
CPP_46.dot,18,18,0,0,1,2,8,12,0,0,5,10,Wrong
CPP_108.dot,9,12,5,8,4,8,8,12,5,8,5,10,Overall Completed
CPP_41.dot,3,2,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_146.dot,27,26,0,0,0,0,9,13,3,3,5,10,Wrong
CPP_42.dot,13,18,0,0,6,12,11,17,0,0,7,14,Wrong
CPP_92.dot,4,4,0,0,1,2,3,3,0,0,1,2,Overall Completed
CPP_18.dot,15,20,0,0,5,11,16,23,0,0,8,17,Loop Completed
CPP_63.dot,16,20,0,0,5,10,8,12,0,0,5,10,Wrong
CPP_115.dot,14,13,0,0,0,0,16,26,13,22,11,22,Wrong
CPP_66.dot,14,17,0,0,3,6,11,17,0,0,7,14,Wrong
CPP_96.dot,0,0,0,0,0,0,28,40,18,26,15,30,Wrong
CPP_99.dot,7,6,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_45.dot,4,3,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_124.dot,0,0,0,0,0,0,30,49,0,0,21,43,Wrong
CPP_121.dot,5,5,0,0,1,2,8,12,0,0,5,10,Wrong
CPP_0.dot,10,14,5,7,5,10,8,12,5,7,5,10,Wrong
CPP_60.dot,2,1,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_8.dot,13,19,0,0,7,14,11,17,0,0,7,14,Wrong
CPP_68.dot,0,0,0,0,0,0,21,31,3,3,12,24,Wrong
CPP_75.dot,8,11,3,5,4,8,5,8,3,5,4,8,Wrong
CPP_52.dot,7,9,2,2,3,6,6,9,0,0,4,8,Overall Completed
CPP_35.dot,9,12,2,2,4,8,7,11,0,0,5,10,Wrong
