file_name,overall_nodes_test,overall_edges_test,loop_nodes_test,loop_edges_test,branch_nodes_test,branch_edges_test,overall_nodes_golden,overall_edges_golden,loop_nodes_golden,loop_edges_golden,branch_nodes_golden,branch_edges_golden,category
CPP_97.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_62.dot,0,0,0,0,0,0,21,28,0,0,10,20,Wrong
CPP_114.dot,0,0,0,0,0,0,7,10,0,0,4,8,Wrong
CPP_36.dot,0,0,0,0,0,0,5,8,3,5,4,8,Wrong
CPP_72.dot,8,10,2,2,3,6,6,8,2,2,3,6,Wrong
CPP_30.dot,0,0,0,0,0,0,22,30,3,3,11,22,Wrong
CPP_55.dot,0,0,0,0,0,0,8,13,0,0,6,12,Wrong
CPP_64.dot,0,0,0,0,0,0,16,27,11,20,5,17,Wrong
CPP_56.dot,0,0,0,0,0,0,6,8,2,2,3,6,Wrong
CPP_98.dot,0,0,0,0,0,0,9,14,6,10,6,12,Wrong
CPP_71.dot,0,0,0,0,0,0,3,3,0,0,1,2,Wrong
CPP_78.dot,10,16,7,12,7,14,10,16,7,12,7,14,Overall Completed
CPP_163.dot,0,0,0,0,0,0,22,29,13,18,10,20,Wrong
CPP_159.dot,0,0,0,0,0,0,4,4,0,0,1,2,Wrong
CPP_138.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_3.dot,0,0,0,0,0,0,6,9,0,0,4,8,Wrong
CPP_80.dot,7,11,0,0,5,10,7,11,0,0,5,10,Overall Completed
CPP_24.dot,0,0,0,0,0,0,4,6,2,2,3,6,Wrong
CPP_11.dot,15,24,0,0,9,18,14,21,0,0,9,18,Loop Completed
CPP_12.dot,0,0,0,0,0,0,10,13,0,0,5,10,Wrong
CPP_4.dot,0,0,0,0,0,0,14,23,0,0,10,20,Wrong
CPP_109.dot,0,0,0,0,0,0,10,15,0,0,6,12,Wrong
CPP_151.dot,7,11,0,0,4,8,7,10,4,6,4,8,Overall Completed
CPP_39.dot,0,0,0,0,0,0,6,8,4,6,3,6,Wrong
CPP_135.dot,0,0,0,0,0,0,7,11,0,0,5,10,Wrong
CPP_43.dot,0,0,0,0,0,0,8,12,5,7,5,10,Wrong
CPP_31.dot,0,0,0,0,0,0,5,7,0,0,3,6,Wrong
CPP_2.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_102.dot,0,0,0,0,0,0,4,5,0,0,2,4,Wrong
CPP_157.dot,0,0,0,0,0,0,5,7,0,0,3,6,Wrong
CPP_133.dot,0,0,0,0,0,0,8,11,0,0,4,8,Wrong
CPP_82.dot,0,0,0,0,0,0,5,7,0,0,3,6,Wrong
CPP_23.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_134.dot,10,15,0,0,6,12,8,13,0,0,6,12,Wrong
CPP_128.dot,0,0,0,0,0,0,8,11,0,0,4,8,Wrong
CPP_61.dot,0,0,0,0,0,0,6,8,2,2,3,6,Wrong
CPP_150.dot,0,0,0,0,0,0,3,4,0,0,2,4,Wrong
CPP_9.dot,0,0,0,0,0,0,21,28,0,0,10,20,Wrong
CPP_76.dot,0,0,0,0,0,0,3,4,0,0,2,4,Wrong
CPP_83.dot,0,0,0,0,0,0,13,22,0,0,10,20,Wrong
CPP_46.dot,0,0,0,0,0,0,8,12,0,0,5,10,Wrong
CPP_108.dot,0,0,0,0,0,0,8,12,5,8,5,10,Wrong
CPP_41.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_42.dot,0,0,0,0,0,0,11,17,0,0,7,14,Wrong
CPP_92.dot,0,0,0,0,0,0,3,3,0,0,1,2,Wrong
CPP_63.dot,0,0,0,0,0,0,8,12,0,0,5,10,Wrong
CPP_66.dot,11,18,0,0,7,14,11,17,0,0,7,14,Overall Completed
CPP_99.dot,4,3,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_45.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_121.dot,8,13,0,0,5,10,8,12,0,0,5,10,Overall Completed
CPP_0.dot,0,0,0,0,0,0,8,12,5,7,5,10,Wrong
CPP_60.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_8.dot,0,0,0,0,0,0,11,17,0,0,7,14,Wrong
CPP_68.dot,0,0,0,0,0,0,21,31,3,3,12,24,Wrong
CPP_75.dot,0,0,0,0,0,0,5,8,3,5,4,8,Wrong
CPP_52.dot,0,0,0,0,0,0,6,9,0,0,4,8,Wrong
CPP_35.dot,0,0,0,0,0,0,7,11,0,0,5,10,Wrong
CPP_100.dot,16,19,10,12,4,8,17,22,0,0,8,16,Wrong
CPP_77.dot,0,0,0,0,0,0,3,3,0,0,1,2,Wrong
CPP_40.dot,0,0,0,0,0,0,10,16,7,11,7,14,Wrong
CPP_136.dot,0,0,0,0,0,0,8,11,5,7,4,8,Wrong
CPP_85.dot,0,0,0,0,0,0,8,12,0,0,5,10,Wrong
CPP_139.dot,0,0,0,0,0,0,7,11,0,0,5,10,Wrong
CPP_57.dot,0,0,0,0,0,0,7,11,0,0,5,10,Wrong
CPP_59.dot,0,0,0,0,0,0,5,8,3,5,4,8,Wrong
CPP_132.dot,0,0,0,0,0,0,6,8,2,2,3,6,Wrong
CPP_91.dot,0,0,0,0,0,0,11,16,0,0,6,12,Wrong
CPP_73.dot,0,0,0,0,0,0,3,4,0,0,2,4,Wrong
CPP_152.dot,0,0,0,0,0,0,21,28,0,0,10,20,Wrong
CPP_142.dot,0,0,0,0,0,0,8,11,5,7,4,8,Wrong
CPP_49.dot,0,0,0,0,0,0,7,11,0,0,5,10,Wrong
CPP_122.dot,11,18,0,0,7,14,11,17,0,0,7,14,Overall Completed
CPP_13.dot,3,3,0,0,1,2,3,3,0,0,1,2,Overall Completed
CPP_53.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_126.dot,0,0,0,0,0,0,7,11,0,0,5,10,Wrong
CPP_127.dot,0,0,0,0,0,0,8,11,0,0,4,8,Wrong
