file_name,overall_nodes_test,overall_edges_test,loop_nodes_test,loop_edges_test,branch_nodes_test,branch_edges_test,overall_nodes_golden,overall_edges_golden,loop_nodes_golden,loop_edges_golden,branch_nodes_golden,branch_edges_golden,category
CPP_122.dot,11,17,2,2,7,14,11,17,0,0,7,14,Overall Completed
CPP_80.dot,7,12,0,0,5,10,7,11,0,0,5,10,Overall Completed
CPP_4.dot,14,26,0,0,10,23,14,23,0,0,10,20,Loop Completed
CPP_91.dot,11,17,0,0,6,12,11,16,0,0,6,12,Overall Completed
CPP_9.dot,21,28,12,16,8,16,21,28,0,0,10,20,Overall Completed
CPP_72.dot,6,8,2,2,3,6,6,8,2,2,3,6,Overall Completed
CPP_152.dot,21,28,14,20,8,16,21,28,0,0,10,20,Overall Completed
CPP_42.dot,11,18,0,0,7,14,11,17,0,0,7,14,Overall Completed
CPP_62.dot,21,27,12,16,7,14,21,28,0,0,10,20,Overall Completed
CPP_114.dot,7,10,0,0,4,8,7,10,0,0,4,8,Overall Completed
CPP_30.dot,22,32,13,18,10,20,22,30,3,3,11,22,Wrong
CPP_78.dot,10,16,7,12,7,14,10,16,7,12,7,14,Overall Completed
CPP_82.dot,5,7,0,0,3,6,5,7,0,0,3,6,Overall Completed
CPP_8.dot,13,19,0,0,7,14,11,17,0,0,7,14,Wrong
CPP_56.dot,6,8,2,2,3,6,6,8,2,2,3,6,Overall Completed
CPP_150.dot,3,5,0,0,2,4,3,4,0,0,2,4,Overall Completed
CPP_40.dot,10,17,7,11,7,14,10,16,7,11,7,14,Overall Completed
CPP_39.dot,6,8,4,6,3,6,6,8,4,6,3,6,Overall Completed
CPP_98.dot,9,10,2,2,3,9,9,14,6,10,6,12,Wrong
CPP_76.dot,3,4,0,0,2,4,3,4,0,0,2,4,Overall Completed
CPP_53.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_138.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_45.dot,2,1,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_2.dot,3,2,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_41.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_35.dot,7,11,0,0,5,10,7,11,0,0,5,10,Overall Completed
CPP_13.dot,2,2,1,1,1,2,3,3,0,0,1,2,Overall Completed
CPP_92.dot,3,3,0,0,1,2,3,3,0,0,1,2,Overall Completed
CPP_99.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_11.dot,14,18,0,0,6,12,14,21,0,0,9,18,Loop Completed
CPP_64.dot,16,28,11,20,5,17,16,27,11,20,5,17,Overall Completed
CPP_108.dot,8,12,5,8,5,10,8,12,5,8,5,10,Overall Completed
CPP_121.dot,8,12,0,0,5,10,8,12,0,0,5,10,Overall Completed
CPP_134.dot,8,13,0,0,6,12,8,13,0,0,6,12,Overall Completed
CPP_102.dot,4,5,0,0,2,4,4,5,0,0,2,4,Overall Completed
CPP_97.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_73.dot,3,4,0,0,2,4,3,4,0,0,2,4,Overall Completed
CPP_24.dot,4,6,2,2,3,6,4,6,2,2,3,6,Overall Completed
CPP_59.dot,5,10,2,2,5,10,5,8,3,5,4,8,Wrong
CPP_60.dot,2,1,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_3.dot,6,9,2,2,4,8,6,9,0,0,4,8,Overall Completed
CPP_132.dot,6,8,2,2,3,6,6,8,2,2,3,6,Overall Completed
CPP_142.dot,8,12,5,7,4,8,8,11,5,7,4,8,Overall Completed
CPP_71.dot,3,3,0,0,1,2,3,3,0,0,1,2,Overall Completed
CPP_100.dot,17,22,10,13,6,12,17,22,0,0,8,16,Overall Completed
CPP_127.dot,0,0,0,0,0,0,8,11,0,0,4,8,Wrong
CPP_52.dot,6,9,2,3,4,8,6,9,0,0,4,8,Overall Completed
CPP_126.dot,7,10,0,0,4,8,7,11,0,0,5,10,Overall Completed
CPP_12.dot,10,14,3,4,5,10,10,13,0,0,5,10,Overall Completed
CPP_49.dot,7,11,0,0,5,10,7,11,0,0,5,10,Overall Completed
CPP_109.dot,10,16,0,0,6,12,10,15,0,0,6,12,Overall Completed
CPP_77.dot,3,3,0,0,1,2,3,3,0,0,1,2,Overall Completed
CPP_96.dot,28,39,0,0,12,24,28,40,18,26,15,30,Overall Completed
CPP_135.dot,7,11,0,0,5,10,7,11,0,0,5,10,Overall Completed
CPP_75.dot,5,9,0,0,4,8,5,8,3,5,4,8,Overall Completed
CPP_157.dot,5,7,0,0,3,6,5,7,0,0,3,6,Overall Completed
CPP_136.dot,9,12,5,6,4,8,8,11,5,7,4,8,Overall Completed
CPP_61.dot,6,8,2,2,3,6,6,8,2,2,3,6,Overall Completed
CPP_159.dot,5,5,0,0,1,2,4,4,0,0,1,2,Overall Completed
CPP_163.dot,21,26,18,23,7,14,22,29,13,18,10,20,Wrong
CPP_128.dot,8,11,0,0,4,8,8,11,0,0,4,8,Overall Completed
CPP_57.dot,7,11,0,0,5,10,7,11,0,0,5,10,Overall Completed
CPP_31.dot,6,7,0,0,2,4,5,7,0,0,3,6,Overall Completed
CPP_83.dot,0,0,0,0,0,0,13,22,0,0,10,20,Wrong
CPP_139.dot,7,11,0,0,5,10,7,11,0,0,5,10,Overall Completed
CPP_0.dot,8,12,5,7,5,10,8,12,5,7,5,10,Overall Completed
CPP_23.dot,3,2,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_151.dot,7,10,4,6,4,8,7,10,4,6,4,8,Overall Completed
CPP_66.dot,12,18,0,0,7,14,11,17,0,0,7,14,Overall Completed
CPP_43.dot,8,12,5,7,5,10,8,12,5,7,5,10,Overall Completed
CPP_46.dot,8,12,0,0,4,8,8,12,0,0,5,10,Overall Completed
CPP_85.dot,8,13,0,0,5,10,8,12,0,0,5,10,Overall Completed
CPP_55.dot,8,13,0,0,6,12,8,13,0,0,6,12,Overall Completed
