file_name,overall_nodes_rate,overall_edges_rate,loop_nodes_rate,loop_edges_rate,branch_nodes_rate,branch_edges_rate,overall_nodes_golden
CPP_97.dot,NA,NA,NA,NA,NA,NA,0
CPP_62.dot,0.0,0.0,NA,NA,0.0,0.0,21
CPP_114.dot,0.0,0.0,NA,NA,0.0,0.0,7
CPP_36.dot,0.0,0.0,0.0,0.0,0.0,0.0,5
CPP_72.dot,1.3333333333333333,1.25,1.0,1.0,1.0,1.0,6
CPP_30.dot,0.0,0.0,0.0,0.0,0.0,0.0,22
CPP_55.dot,0.0,0.0,NA,NA,0.0,0.0,8
CPP_64.dot,0.0,0.0,0.0,0.0,0.0,0.0,16
CPP_56.dot,0.0,0.0,0.0,0.0,0.0,0.0,6
CPP_98.dot,0.0,0.0,0.0,0.0,0.0,0.0,9
CPP_71.dot,0.0,0.0,NA,NA,0.0,0.0,3
CPP_78.dot,1.0,1.0,1.0,1.0,1.0,1.0,10
CPP_163.dot,0.0,0.0,0.0,0.0,0.0,0.0,22
CPP_159.dot,0.0,0.0,NA,NA,0.0,0.0,4
CPP_138.dot,NA,NA,NA,NA,NA,NA,0
CPP_3.dot,0.0,0.0,NA,NA,0.0,0.0,6
CPP_80.dot,1.0,1.0,NA,NA,1.0,1.0,7
CPP_24.dot,0.0,0.0,0.0,0.0,0.0,0.0,4
CPP_11.dot,1.0714285714285714,1.1428571428571428,NA,NA,1.0,1.0,14
CPP_12.dot,0.0,0.0,NA,NA,0.0,0.0,10
CPP_4.dot,0.0,0.0,NA,NA,0.0,0.0,14
CPP_109.dot,0.0,0.0,NA,NA,0.0,0.0,10
CPP_151.dot,1.0,1.1,0.0,0.0,1.0,1.0,7
CPP_39.dot,0.0,0.0,0.0,0.0,0.0,0.0,6
CPP_135.dot,0.0,0.0,NA,NA,0.0,0.0,7
CPP_43.dot,0.0,0.0,0.0,0.0,0.0,0.0,8
CPP_31.dot,0.0,0.0,NA,NA,0.0,0.0,5
CPP_2.dot,NA,NA,NA,NA,NA,NA,0
CPP_102.dot,0.0,0.0,NA,NA,0.0,0.0,4
CPP_157.dot,0.0,0.0,NA,NA,0.0,0.0,5
CPP_133.dot,0.0,0.0,NA,NA,0.0,0.0,8
CPP_82.dot,0.0,0.0,NA,NA,0.0,0.0,5
CPP_23.dot,NA,NA,NA,NA,NA,NA,0
CPP_134.dot,1.25,1.1538461538461537,NA,NA,1.0,1.0,8
CPP_128.dot,0.0,0.0,NA,NA,0.0,0.0,8
CPP_61.dot,0.0,0.0,0.0,0.0,0.0,0.0,6
CPP_150.dot,0.0,0.0,NA,NA,0.0,0.0,3
CPP_9.dot,0.0,0.0,NA,NA,0.0,0.0,21
CPP_76.dot,0.0,0.0,NA,NA,0.0,0.0,3
CPP_83.dot,0.0,0.0,NA,NA,0.0,0.0,13
CPP_46.dot,0.0,0.0,NA,NA,0.0,0.0,8
CPP_108.dot,0.0,0.0,0.0,0.0,0.0,0.0,8
CPP_41.dot,NA,NA,NA,NA,NA,NA,0
CPP_42.dot,0.0,0.0,NA,NA,0.0,0.0,11
CPP_92.dot,0.0,0.0,NA,NA,0.0,0.0,3
CPP_63.dot,0.0,0.0,NA,NA,0.0,0.0,8
CPP_66.dot,1.0,1.0588235294117647,NA,NA,1.0,1.0,11
CPP_99.dot,NA,NA,NA,NA,NA,NA,0
CPP_45.dot,NA,NA,NA,NA,NA,NA,0
CPP_121.dot,1.0,1.0833333333333333,NA,NA,1.0,1.0,8
CPP_0.dot,0.0,0.0,0.0,0.0,0.0,0.0,8
CPP_60.dot,NA,NA,NA,NA,NA,NA,0
CPP_8.dot,0.0,0.0,NA,NA,0.0,0.0,11
CPP_68.dot,0.0,0.0,0.0,0.0,0.0,0.0,21
CPP_75.dot,0.0,0.0,0.0,0.0,0.0,0.0,5
CPP_52.dot,0.0,0.0,NA,NA,0.0,0.0,6
CPP_35.dot,0.0,0.0,NA,NA,0.0,0.0,7
CPP_100.dot,0.9411764705882353,0.8636363636363636,NA,NA,0.5,0.5,17
CPP_77.dot,0.0,0.0,NA,NA,0.0,0.0,3
CPP_40.dot,0.0,0.0,0.0,0.0,0.0,0.0,10
CPP_136.dot,0.0,0.0,0.0,0.0,0.0,0.0,8
CPP_85.dot,0.0,0.0,NA,NA,0.0,0.0,8
CPP_139.dot,0.0,0.0,NA,NA,0.0,0.0,7
CPP_57.dot,0.0,0.0,NA,NA,0.0,0.0,7
CPP_59.dot,0.0,0.0,0.0,0.0,0.0,0.0,5
CPP_132.dot,0.0,0.0,0.0,0.0,0.0,0.0,6
CPP_91.dot,0.0,0.0,NA,NA,0.0,0.0,11
CPP_73.dot,0.0,0.0,NA,NA,0.0,0.0,3
CPP_152.dot,0.0,0.0,NA,NA,0.0,0.0,21
CPP_142.dot,0.0,0.0,0.0,0.0,0.0,0.0,8
CPP_49.dot,0.0,0.0,NA,NA,0.0,0.0,7
CPP_122.dot,1.0,1.0588235294117647,NA,NA,1.0,1.0,11
CPP_13.dot,1.0,1.0,NA,NA,1.0,1.0,3
CPP_53.dot,NA,NA,NA,NA,NA,NA,0
CPP_126.dot,0.0,0.0,NA,NA,0.0,0.0,7
CPP_127.dot,0.0,0.0,NA,NA,0.0,0.0,8
