nodes,edges,density,avg_clustering,degree_centrality,connected_components,file_name
1,0,0.0,0.0,1.0,1,CPP_97.dot
20,13,0.06842105263157895,0.0,0.06842105263157891,7,CPP_131.dot
64,50,0.0248015873015873,0.0,0.02480158730158727,14,CPP_5.dot
24,16,0.057971014492753624,0.0,0.0579710144927536,8,CPP_78.dot
42,28,0.032520325203252036,0.0,0.03252032520325204,14,CPP_21.dot
1,0,0.0,0.0,1.0,1,CPP_60.dot
26,17,0.052307692307692305,0.0,0.052307692307692326,9,CPP_66.dot
69,51,0.021739130434782608,0.0,0.021739130434782584,18,CPP_116.dot
1,0,0.0,0.0,1.0,1,CPP_23.dot
69,56,0.023870417732310314,0.0,0.023870417732310283,13,CPP_130.dot
58,40,0.024198427102238355,0.0,0.024198427102238386,18,CPP_48.dot
63,49,0.025089605734767026,0.0,0.02508960573476701,14,CPP_106.dot
67,48,0.021709633649932156,0.0,0.021709633649932145,19,CPP_16.dot
28,20,0.05291005291005291,0.0,0.05291005291005287,8,CPP_155.dot
16,10,0.08333333333333333,0.0,0.08333333333333333,6,CPP_151.dot
65,50,0.02403846153846154,0.0,0.02403846153846154,15,CPP_141.dot
1,0,0.0,0.0,1.0,1,CPP_138.dot
39,26,0.03508771929824561,0.0,0.03508771929824563,13,CPP_115.dot
20,13,0.06842105263157895,0.0,0.06842105263157892,7,CPP_146.dot
1,0,0.0,0.0,1.0,1,CPP_41.dot
1,0,0.0,0.0,1.0,1,CPP_45.dot
65,51,0.02451923076923077,0.0,0.02451923076923077,14,CPP_25.dot
45,31,0.031313131313131314,0.0,0.0313131313131313,14,CPP_95.dot
52,41,0.03092006033182504,0.0,0.030920060331825004,11,CPP_89.dot
64,52,0.025793650793650792,0.0,0.025793650793650768,13,CPP_6.dot
74,49,0.01814142910033321,0.0,0.018141429100333246,25,CPP_124.dot
52,40,0.030165912518853696,0.0,0.030165912518853664,12,CPP_96.dot
