nodes,edges,density,avg_clustering,degree_centrality,connected_components,file_name
131,101,0.011861421021726366,0.007633587786259542,0.011861421021726345,31,CPP_58.dot
72,58,0.02269170579029734,0.0,0.02269170579029732,14,CPP_153.dot
75,62,0.022342342342342343,0.0,0.022342342342342374,13,CPP_14.dot
87,68,0.0181769580326116,0.011494252873563218,0.01817695803261161,20,CPP_34.dot
46,37,0.035748792270531404,0.014492753623188404,0.03574879227053136,10,CPP_123.dot
15,10,0.09523809523809523,0.0,0.09523809523809522,5,CPP_90.dot
108,84,0.014537902388369679,0.0,0.014537902388369627,24,CPP_119.dot
52,41,0.03092006033182504,0.0,0.030920060331825004,11,CPP_50.dot
90,74,0.018476903870162296,0.0,0.01847690387016232,17,CPP_15.dot
70,53,0.02194616977225673,0.0,0.021946169772256757,17,CPP_20.dot
239,183,0.006434372912344854,0.0,0.006434372912344842,56,CPP_26.dot
173,136,0.009141013577093696,0.014450867052023121,0.009141013577093706,39,CPP_105.dot
87,64,0.01710772520716386,0.0,0.017107725207163874,23,CPP_144.dot
46,36,0.034782608695652174,0.0,0.03478260869565214,10,CPP_87.dot
150,122,0.010917225950782998,0.0,0.010917225950783038,28,CPP_113.dot
80,61,0.01930379746835443,0.0,0.019303797468354464,19,CPP_22.dot
380,302,0.004193861963616164,0.006140350877192982,0.00419386196361613,82,CPP_19.dot
140,98,0.010071942446043165,0.0,0.010071942446043139,42,CPP_118.dot
50,39,0.03183673469387755,0.0,0.03183673469387757,11,CPP_44.dot
175,141,0.009261083743842364,0.0034285714285714284,0.009261083743842394,35,CPP_117.dot
53,42,0.030478955007256895,0.018867924528301886,0.03047895500725686,12,CPP_104.dot
164,118,0.00882837049229388,0.0,0.008828370492293862,46,CPP_54.dot
132,102,0.01179736294240111,0.0,0.011797362942401069,30,CPP_158.dot
105,81,0.014835164835164835,0.0,0.01483516483516482,24,CPP_51.dot
122,93,0.01259991871020187,0.0,0.012599918710201854,29,CPP_161.dot
104,84,0.01568334578043316,0.0,0.015683345780433153,20,CPP_79.dot
89,67,0.01710929519918284,0.0,0.017109295199182882,22,CPP_145.dot
188,147,0.008362726134941404,0.0,0.008362726134941424,42,CPP_156.dot
103,79,0.01503902531886541,0.0,0.015039025318865393,24,CPP_93.dot
54,41,0.0286512928022362,0.0,0.028651292802236196,13,CPP_88.dot
58,40,0.024198427102238355,0.0,0.024198427102238386,18,CPP_10.dot
262,212,0.006200462109911965,0.0,0.006200462109911978,53,CPP_112.dot
117,93,0.013704686118479222,0.0,0.013704686118479205,24,CPP_38.dot
60,44,0.024858757062146894,0.0,0.024858757062146866,16,CPP_69.dot
85,64,0.017927170868347338,0.0,0.017927170868347317,21,CPP_111.dot
145,112,0.010727969348659003,0.0,0.01072796934865898,34,CPP_148.dot
1,0,0.0,0.0,1.0,1,CPP_2.dot
7,4,0.19047619047619047,0.0,0.19047619047619047,3,CPP_32.dot
121,101,0.013911845730027548,0.005509641873278236,0.013911845730027534,22,CPP_101.dot
326,272,0.005134497404436055,0.0,0.005134497404436016,54,CPP_140.dot
109,88,0.014950730547060823,0.009174311926605505,0.014950730547060842,22,CPP_37.dot
96,76,0.016666666666666666,0.0,0.016666666666666677,20,CPP_70.dot
108,84,0.014537902388369679,0.0,0.014537902388369627,24,CPP_84.dot
208,180,0.008361204013377926,0.016025641025641024,0.008361204013377945,32,CPP_147.dot
52,42,0.03167420814479638,0.0,0.03167420814479635,10,CPP_29.dot
14,9,0.0989010989010989,0.0,0.09890109890109888,5,CPP_120.dot
78,68,0.022644022644022644,0.021367521367521364,0.022644022644022595,12,CPP_149.dot
122,87,0.011787020728898524,0.0,0.011787020728898505,35,CPP_160.dot
117,94,0.013852048334806955,0.0,0.013852048334806936,23,CPP_67.dot
67,53,0.02397105382180009,0.0,0.023971053821800075,15,CPP_154.dot
165,130,0.009608277900960829,0.0,0.009608277900960836,36,CPP_65.dot
75,54,0.01945945945945946,0.0,0.01945945945945949,21,CPP_94.dot
61,48,0.02622950819672131,0.0,0.026229508196721294,13,CPP_103.dot
156,127,0.010504549214226633,0.0,0.010504549214226598,30,CPP_17.dot
79,56,0.018175916910094125,0.0,0.018175916910094105,23,CPP_107.dot
308,252,0.005330174711282203,0.0,0.005330174711282205,56,CPP_81.dot
108,87,0.015057113187954309,0.007716049382716049,0.01505711318795426,22,CPP_33.dot
363,297,0.0045203415369161224,0.003305785123966942,0.004520341536916098,71,CPP_125.dot
509,399,0.0030861810250143095,0.0,0.0030861810250143043,112,CPP_137.dot
28,22,0.0582010582010582,0.0,0.05820105820105816,6,CPP_7.dot
99,81,0.016697588126159554,0.0,0.01669758812615952,18,CPP_162.dot
52,44,0.033182503770739065,0.011538461538461537,0.03318250377073903,10,CPP_1.dot
192,161,0.008780541012216404,0.004340277777777777,0.008780541012216378,32,CPP_86.dot
104,79,0.014749813293502613,0.0,0.01474981329350261,25,CPP_129.dot
174,143,0.009501029831904857,0.0,0.009501029831904888,31,CPP_143.dot
