Number,GPT4o,GPT3.5,Gemma27b,Meta-Llama,LOC
0,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,92
1,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,590
2,Passed,Compilation Failed,Compilation Failed,Compilation Failed,21
3,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,74
4,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,203
5,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,309
6,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,323
7,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,503
8,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,198
9,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,199
10,Execution Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1523
11,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,135
12,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,116
13,Compilation Failed,Compilation Failed,Passed,Passed,33
14,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,680
15,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,483
16,Passed,Compilation Failed,Compilation Failed,Decompilation Failed,279
17,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,670
18,Compilation Failed,Compilation Failed,Passed,Decompilation Failed,194
19,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,3255
20,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,394
21,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,229
22,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1501
23,Passed,Compilation Failed,Execution Failed,Compilation Failed,32
24,Compilation Failed,Compilation Failed,Compilation Failed,Passed,38
25,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,281
26,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,757
27,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,267
28,Compilation Failed,Compilation Failed,Compilation Failed,Decompilation Failed,269
29,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,601
30,Compilation Failed,Compilation Failed,Compilation Failed,Compilation Failed,202
31,Passed,Compilation Failed,Compilation Failed,Passed,43
32,Compilation Failed,Compilation Failed,Decompilation Failed,Decompilation Failed,407
33,Compilation Failed,Decompilation Failed,Decompilation Failed,Decompilation Failed,1343
