Index,Model,BLEU_Score,ROUGE-L_Score,METEOR_Score
CPP_108,Gemma,0.5335,0.6667,0.8003
CPP_108,GPT4,0.5176,0.7317,0.8218
CPP_108,GPT35,0.2347,0.5676,0.5526
CPP_108,MetaLlama,0.4152,0.675,0.6689
CPP_120,GPT4,0.177,0.3582,0.5184
CPP_134,Gemma,0.4551,0.6383,0.7229
CPP_134,GPT4,0.4854,0.6667,0.6891
CPP_134,GPT35,0.425,0.6905,0.647
CPP_134,MetaLlama,0.5107,0.6889,0.6929
CPP_0,Gemma,0.8608,0.9804,0.979
CPP_0,GPT4,0.9588,1.0,0.9841
CPP_0,GPT35,0.9588,1.0,0.9841
CPP_0,MetaLlama,0.9588,1.0,0.9841
CPP_27,GPT4,0.3507,0.5128,0.4932
CPP_27,GPT35,0.1721,0.3696,0.4996
CPP_33,GPT4,0.4143,0.5349,0.5818
CPP_32,GPT4,0.6206,0.7355,0.7898
CPP_32,GPT35,0.4414,0.6423,0.6653
CPP_26,GPT4,0.5206,0.6977,0.6636
CPP_26,GPT35,0.2245,0.44,0.4974
CPP_1,GPT4,0.3588,0.716,0.7468
CPP_1,GPT35,0.1721,0.3636,0.5506
CPP_135,Gemma,0.2889,0.4444,0.554
CPP_135,GPT4,0.2782,0.4466,0.5786
CPP_135,GPT35,0.2158,0.4719,0.5108
CPP_135,MetaLlama,0.3194,0.4706,0.5795
CPP_121,Gemma,0.1948,0.3913,0.4987
CPP_121,GPT4,0.4512,0.6506,0.7427
CPP_121,GPT35,0.3106,0.5479,0.6265
CPP_121,MetaLlama,0.3108,0.5263,0.5998
CPP_109,Gemma,0.3699,0.4902,0.6243
CPP_109,GPT4,0.3079,0.4941,0.5973
CPP_109,GPT35,0.2199,0.4878,0.5731
CPP_109,MetaLlama,0.3161,0.5476,0.6153
CPP_137,GPT4,0.0474,0.1361,0.3091
CPP_123,GPT4,0.3273,0.5429,0.6299
CPP_3,Gemma,0.4211,0.6136,0.6373
CPP_3,GPT4,0.3714,0.6118,0.654
CPP_3,GPT35,0.3457,0.6207,0.6952
CPP_3,MetaLlama,0.4024,0.6,0.6696
CPP_30,Gemma,0.3027,0.4545,0.7052
CPP_30,GPT4,0.4639,0.5455,0.7012
CPP_30,GPT35,0.2467,0.4651,0.6178
CPP_30,MetaLlama,0.4433,0.7027,0.7499
CPP_24,Gemma,0.403,0.5625,0.6266
CPP_24,GPT4,0.455,0.6857,0.7461
CPP_24,GPT35,0.2858,0.5455,0.6178
CPP_24,MetaLlama,0.3494,0.5588,0.6325
CPP_18,Gemma,0.269,0.3673,0.58
CPP_18,GPT4,0.3299,0.6087,0.6555
CPP_18,GPT35,0.2153,0.375,0.5702
CPP_18,MetaLlama,0.4313,0.6173,0.6189
CPP_19,GPT4,0.2217,0.4444,0.5136
CPP_25,Gemma,0.1617,0.3736,0.5893
CPP_25,GPT4,0.4066,0.5405,0.601
