CPP_number,Code,GPT4,GPT4_SC
CPP_15,"/*
Return a string containing space-delimited numbers starting from 0 upto n inclusive.
>>> string_sequence(0)
""0""
>>> string_sequence(5)
""0 1 2 3 4 5""
*/
#include<stdio.h>
#include<string>
using namespace std;
string string_sequence(int n){

    string out=""0"";
    for (int i=1;i<=n;i++)
    out=out+"" ""+to_string(i);
    return out;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (string_sequence(0) == ""0"");
    assert (string_sequence(3) == ""0 1 2 3"");
     assert (string_sequence(10) == ""0 1 2 3 4 5 6 7 8 9 10"");
}
",partial pass,pass
CPP_30,"/*
Return only positive numbers in the vector.
>>> get_positive({-1, 2, -4, 5, 6})
{2, 5, 6}
>>> get_positive({5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10})
{5, 3, 2, 3, 9, 123, 1}
*/
#include<stdio.h>
#include<math.h>
#include<vector>
using namespace std;
vector<float> get_positive(vector<float> l){

    vector<float> out={};
    for (int i=0;i<l.size();i++)
        if (l[i]>0) out.push_back(l[i]);
    return out;
}

#undef NDEBUG
#include<assert.h>
bool issame(vector<float> a,vector<float>b){
    if (a.size()!=b.size()) return false;
    for (int i=0;i<a.size();i++)
    {
        if (abs(a[i]-b[i])>1e-4) return false;
    }
    return true;
}
int main(){
    assert (issame(get_positive({-1, -2, 4, 5, 6}) , {4, 5, 6} ));
    assert (issame(get_positive({5, 3, -5, 2, 3, 3, 9, 0, 123, 1, -10}) , {5, 3, 2, 3, 3, 9, 123, 1}));
     assert (issame(get_positive({-1, -2}) , {} ));
     assert (issame(get_positive({}) , {}));
}
",pass,pass
CPP_110,"/*
In this problem, you will implement a function that takes two vectors of numbers,
and determines whether it is possible to perform an exchange of elements
between them to make lst1 a vector of only even numbers.
There is no limit on the number of exchanged elements between lst1 and lst2.
If it is possible to exchange elements between the lst1 and lst2 to make
all the elements of lst1 to be even, return ""YES"".
Otherwise, return ""NO"".
For example:
exchange({1, 2, 3, 4}, {1, 2, 3, 4}) => ""YES""
exchange({1, 2, 3, 4}, {1, 5, 3, 4}) => ""NO""
It is assumed that the input vectors will be non-empty.
*/
#include<stdio.h>
#include<vector>
#include<string>
using namespace std;
string exchange(vector<int> lst1,vector<int> lst2){

    int num=0;
    for (int i=0;i<lst1.size();i++)
    if (lst1[i]%2==0) num+=1;
    for (int i=0;i<lst2.size();i++)
    if (lst2[i]%2==0) num+=1;
    if (num>=lst1.size()) return ""YES"";
    return ""NO"";
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (exchange({1, 2, 3, 4}, {1, 2, 3, 4}) == ""YES"");
    assert (exchange({1, 2, 3, 4}, {1, 5, 3, 4}) == ""NO"");
    assert (exchange({1, 2, 3, 4}, {2, 1, 4, 3}) == ""YES"" );
    assert (exchange({5, 7, 3}, {2, 6, 4}) == ""YES"");
    assert (exchange({5, 7, 3}, {2, 6, 3}) == ""NO"" );
    assert (exchange({3, 2, 6, 1, 8, 9}, {3, 5, 5, 1, 1, 1}) == ""NO"");
    assert (exchange({100, 200}, {200, 200}) == ""YES"");
}
",partial pass,pass
CPP_156,"/*
Given a positive integer, obtain its roman numeral equivalent as a string,
and return it in lowercase.
Restrictions: 1 <= num <= 1000

Examples:
>>> int_to_mini_roman(19) == ""xix""
>>> int_to_mini_roman(152) == ""clii""
>>> int_to_mini_roman(426) == ""cdxxvi""
*/
#include<stdio.h>
#include<vector>
#include<string>
using namespace std;
string int_to_mini_romank(int number){

    string current="""";
    vector<string> rep={""m"",""cm"",""d"",""cd"",""c"",""xc"",""l"",""xl"",""x"",""ix"",""v"",""iv"",""i""};
    vector<int> num={1000,900,500,400,100,90,50,40,10,9,5,4,1};
    int pos=0;
    while(number>0)
    {
        while (number>=num[pos])
        {
            current=current+rep[pos];
            number-=num[pos];
        }
        if (number>0) pos+=1;
    }
    return current;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (int_to_mini_romank(19) == ""xix"");
    assert (int_to_mini_romank(152) == ""clii"");
    assert (int_to_mini_romank(251) == ""ccli"");
    assert (int_to_mini_romank(426) == ""cdxxvi"");
    assert (int_to_mini_romank(500) == ""d"");
    assert (int_to_mini_romank(1) == ""i"");
    assert (int_to_mini_romank(4) == ""iv"");
    assert (int_to_mini_romank(43) == ""xliii"");
    assert (int_to_mini_romank(90) == ""xc"");
    assert (int_to_mini_romank(94) == ""xciv"");
    assert (int_to_mini_romank(532) == ""dxxxii"");
    assert (int_to_mini_romank(900) == ""cm"");
    assert (int_to_mini_romank(994) == ""cmxciv"");
    assert (int_to_mini_romank(1000) == ""m"");
}
",partial pass,pass
CPP_9,"/*
From a given vector of integers, generate a vector of rolling maximum element found until given moment
in the sequence.
>>> rolling_max({1, 2, 3, 2, 3, 4, 2})
{1, 2, 3, 3, 3, 4, 4}
*/
#include<stdio.h>
#include<vector>
using namespace std;
vector<int> rolling_max(vector<int> numbers){

    vector<int> out;
    int max=0;
    for (int i=0;i<numbers.size();i++)
    {
        if (numbers[i]>max) max=numbers[i];
        out.push_back(max);
    }
    return out;
}

#undef NDEBUG
#include<assert.h>
bool issame(vector<int> a,vector<int>b){
    if (a.size()!=b.size()) return false;
    for (int i=0;i<a.size();i++)
    {
        if (a[i]!=b[i]) return false;
    }
    return true;
}
int main(){
     assert (issame(rolling_max({}),{}));
    assert (issame(rolling_max({1, 2, 3, 4}) , {1, 2, 3, 4}));
     assert (issame(rolling_max({4, 3, 2, 1}),{4, 4, 4, 4}));
      assert (issame(rolling_max({3, 2, 3, 100, 3}) ,{3, 3, 3, 100, 100}));
}",pass,pass
CPP_47,"/*
Return median of elements in the vector l.
>>> median({3, 1, 2, 4, 5})
3
>>> median({-10, 4, 6, 1000, 10, 20})
15.0
*/
#include<stdio.h>
#include<math.h>
#include<vector>
#include<algorithm>
using namespace std;
float median(vector<float> l){

    sort(l.begin(),l.end());
    if (l.size()%2==1) return l[l.size()/2];
    return 0.5*(l[l.size()/2]+l[l.size()/2-1]);
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (abs(median({3, 1, 2, 4, 5}) - 3)<1e-4);
    assert (abs(median({-10, 4, 6, 1000, 10, 20}) -8.0)<1e-4);
    assert (abs(median({5}) - 5)<1e-4);
    assert (abs(median({6, 5}) - 5.5)<1e-4);
    assert (abs(median({8, 1, 3, 9, 9, 2, 7}) - 7)<1e-4 );
}
",pass,pass
CPP_35,"/*
Return maximum element in the vector.
>>> max_element({1, 2, 3})
3
>>> max_element({5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10})
123
*/
#include<stdio.h>
#include<math.h>
#include<vector>
using namespace std;
float max_element(vector<float> l){

  float max=-10000;
  for (int i=0;i<l.size();i++)
  if (max<l[i]) max=l[i];
  return max;

}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (abs(max_element({1, 2, 3})- 3)<1e-4);
    assert (abs(max_element({5, 3, -5, 2, -3, 3, 9, 0, 124, 1, -10})- 124)<1e-4);
}
",pass,pass
CPP_138,"/*
Evaluate whether the given number n can be written as the sum of exactly 4 positive even numbers
Example
is_equal_to_sum_even(4) == false
is_equal_to_sum_even(6) == false
is_equal_to_sum_even(8) == true
*/
#include<stdio.h>
using namespace std;
bool is_equal_to_sum_even(int n){

    if (n%2==0 and n>=8) return true;
    return false;
}

#undef NDEBUG
#include<assert.h>
int main(){
    assert (is_equal_to_sum_even(4) == false);
    assert (is_equal_to_sum_even(6) == false);
    assert (is_equal_to_sum_even(8) == true);
    assert (is_equal_to_sum_even(10) == true);
    assert (is_equal_to_sum_even(11) == false);
    assert (is_equal_to_sum_even(12) == true);
    assert (is_equal_to_sum_even(13) == false);
    assert (is_equal_to_sum_even(16) == true);
}
",pass,pass
CPP_113,"/*
Given a vector of strings, where each string consists of only digits, return a vector.
Each element i of the output should be 'the number of odd elements in the
string i of the input."" where all the i's should be replaced by the number
of odd digits in the i'th string of the input.

>>> odd_count({""1234567""})
{'the number of odd elements 4n the str4ng 4 of the 4nput.""}
>>> odd_count({""3"",""11111111""})
{'the number of odd elements 1n the str1ng 1 of the 1nput."",
 'the number of odd elements 8n the str8ng 8 of the 8nput.""}
*/
#include<stdio.h>
#include<vector>
#include<string>
#include<map>
using namespace std;
vector<string> odd_count(vector<string> lst){

    vector<string> out={};
    for (int i=0;i<lst.size();i++)
        {
            int sum=0;
            for (int j=0;j<lst[i].length();j++)
                if (lst[i][j]>=48 and lst[i][j]<=57 and lst[i][j]%2==1)
                sum+=1;
            string s=""the number of odd elements in the string i of the input."";
            string s2="""";
            for (int j=0;j<s.length();j++)
                if (s[j]=='i') s2=s2+to_string(sum);
                else s2=s2+s[j];
            out.push_back(s2);
        }
    return out;
}

#undef NDEBUG
#include<assert.h>
bool issame(vector<string> a,vector<string>b){
    if (a.size()!=b.size()) return false;
    for (int i=0;i<a.size();i++)
    {
    if (a[i]!=b[i]) return false;
    }
    return true;
}
int main(){
    assert (issame(odd_count({""1234567""}) , {""the number of odd elements 4n the str4ng 4 of the 4nput.""}));
    assert (issame(odd_count({""3"",""11111111""}) , {""the number of odd elements 1n the str1ng 1 of the 1nput."", ""the number of odd elements 8n the str8ng 8 of the 8nput.""}));
    assert (issame(odd_count({""271"", ""137"", ""314""}) , {
        ""the number of odd elements 2n the str2ng 2 of the 2nput."",
        ""the number of odd elements 3n the str3ng 3 of the 3nput."",
        ""the number of odd elements 2n the str2ng 2 of the 2nput.""
    }));
}
",partial pass,pass
CPP_112,"/*
Task
We are given two strings s and c, you have to deleted all the characters in s that are equal to any character in c
then check if the result string is palindrome.
A string is called palindrome if it reads the same backward as forward.
You should return a vector containing the result string and ""True""/""False"" for the check.
Example
For s = ""abcde"", c = ""ae"", the result should be (""bcd"",""False"")
For s = ""abcdef"", c = ""b""  the result should be (""acdef"",""False"")
For s = ""abcdedcba"", c = ""ab"", the result should be (""cdedc"",""True"")
*/
#include<stdio.h>
#include<vector>
#include<string>
#include<algorithm>
using namespace std;
vector<string> reverse_delete(string s,string c){

    string n="""";
    for (int i=0;i<s.length();i++)
    if (find(c.begin(),c.end(),s[i])==c.end())
        n=n+s[i]; 
    if (n.length()==0) return {n,""True""};
    string w(n.rbegin(),n.rend());
    if (w==n) return {n,""True""};
    return {n,""False""};
}

#undef NDEBUG
#include<assert.h>
bool issame(vector<string> a,vector<string>b){
    if (a.size()!=b.size()) return false;
    for (int i=0;i<a.size();i++)
    {
    if (a[i]!=b[i]) return false;
    }
    return true;
}
int main(){
    assert (issame(reverse_delete(""abcde"",""ae"") , {""bcd"",""False""}));
    assert (issame(reverse_delete(""abcdef"", ""b"") , {""acdef"",""False""}));
    assert (issame(reverse_delete(""abcdedcba"",""ab"") , {""cdedc"",""True""}));
    assert (issame(reverse_delete(""dwik"",""w"") , {""dik"",""False""}));
    assert (issame(reverse_delete(""a"",""a"") , {"""",""True""}));
    assert (issame(reverse_delete(""abcdedcba"","""") , {""abcdedcba"",""True""}));
    assert (issame(reverse_delete(""abcdedcba"",""v"") , {""abcdedcba"",""True""}));
    assert (issame(reverse_delete(""vabba"",""v"") , {""abba"",""True""}));
    assert (issame(reverse_delete(""mamma"", ""mia"") , {"""", ""True""}));
}
",partial pass,pass
