Test File,Golden File,Comparison Result,Incorrectness Score
CPP_0.dot,CPP_0.dot,Incorrect,7
CPP_1.dot,CPP_1.dot,File not found,N/A
CPP_2.dot,CPP_2.dot,Incorrect,31
CPP_10.dot,CPP_10.dot,File not found,N/A
CPP_11.dot,CPP_11.dot,Incorrect,8
CPP_14.dot,CPP_14.dot,File not found,N/A
CPP_17.dot,CPP_17.dot,File not found,N/A
CPP_19.dot,CPP_19.dot,File not found,N/A
CPP_22.dot,CPP_22.dot,File not found,N/A
CPP_23.dot,CPP_23.dot,Incorrect,5
CPP_29.dot,CPP_29.dot,File not found,N/A
CPP_33.dot,CPP_33.dot,File not found,N/A
CPP_34.dot,CPP_34.dot,File not found,N/A
CPP_37.dot,CPP_37.dot,File not found,N/A
CPP_38.dot,CPP_38.dot,File not found,N/A
CPP_39.dot,CPP_39.dot,Incorrect,10
CPP_46.dot,CPP_46.dot,Incorrect,115
CPP_47.dot,CPP_47.dot,File not found,N/A
CPP_48.dot,CPP_48.dot,Incorrect,18
CPP_49.dot,CPP_49.dot,File not found,N/A
CPP_55.dot,CPP_55.dot,File not found,N/A
CPP_56.dot,CPP_56.dot,Incorrect,54
CPP_58.dot,CPP_58.dot,File not found,N/A
CPP_59.dot,CPP_59.dot,Incorrect,42
CPP_60.dot,CPP_60.dot,Incorrect,11
CPP_65.dot,CPP_65.dot,File not found,N/A
CPP_66.dot,CPP_66.dot,Incorrect,41
CPP_70.dot,CPP_70.dot,File not found,N/A
CPP_72.dot,CPP_72.dot,Incorrect,34
CPP_73.dot,CPP_73.dot,Incorrect,10
CPP_76.dot,CPP_76.dot,Incorrect,37
CPP_78.dot,CPP_78.dot,Incorrect,12
CPP_79.dot,CPP_79.dot,File not found,N/A
CPP_81.dot,CPP_81.dot,File not found,N/A
CPP_86.dot,CPP_86.dot,File not found,N/A
CPP_88.dot,CPP_88.dot,File not found,N/A
CPP_89.dot,CPP_89.dot,Incorrect,24
CPP_90.dot,CPP_90.dot,File not found,N/A
CPP_96.dot,CPP_96.dot,Incorrect,22
CPP_97.dot,CPP_97.dot,Incorrect,23
CPP_101.dot,CPP_101.dot,File not found,N/A
CPP_102.dot,CPP_102.dot,Incorrect,22
CPP_104.dot,CPP_104.dot,File not found,N/A
CPP_105.dot,CPP_105.dot,File not found,N/A
CPP_110.dot,CPP_110.dot,Incorrect,16
CPP_111.dot,CPP_111.dot,File not found,N/A
CPP_112.dot,CPP_112.dot,File not found,N/A
CPP_113.dot,CPP_113.dot,File not found,N/A
CPP_117.dot,CPP_117.dot,File not found,N/A
CPP_118.dot,CPP_118.dot,Incorrect,35
CPP_120.dot,CPP_120.dot,File not found,N/A
CPP_121.dot,CPP_121.dot,Uncompleted,89
CPP_123.dot,CPP_123.dot,File not found,N/A
CPP_124.dot,CPP_124.dot,Incorrect,47
CPP_125.dot,CPP_125.dot,File not found,N/A
CPP_127.dot,CPP_127.dot,Incorrect,27
CPP_130.dot,CPP_130.dot,File not found,N/A
CPP_132.dot,CPP_132.dot,Incorrect,82
CPP_137.dot,CPP_137.dot,File not found,N/A
CPP_138.dot,CPP_138.dot,Incorrect,17
CPP_140.dot,CPP_140.dot,File not found,N/A
CPP_143.dot,CPP_143.dot,File not found,N/A
CPP_147.dot,CPP_147.dot,File not found,N/A
CPP_148.dot,CPP_148.dot,File not found,N/A
CPP_149.dot,CPP_149.dot,File not found,N/A
CPP_156.dot,CPP_156.dot,File not found,N/A
CPP_159.dot,CPP_159.dot,Incorrect,19
