file_name,overall_nodes,overall_edges,loop_nodes,loop_edges,branch_nodes,branch_edges
CPP_122.dot,11,19,11,19,8,16
CPP_80.dot,7,11,3,4,4,9
CPP_4.dot,14,23,0,0,10,20
CPP_91.dot,11,16,0,0,6,12
CPP_9.dot,20,27,11,14,8,16
CPP_72.dot,6,8,2,2,3,6
CPP_152.dot,21,20,0,0,0,0
CPP_42.dot,11,17,0,0,7,14
CPP_62.dot,21,26,0,0,7,14
CPP_114.dot,7,10,0,0,4,8
CPP_30.dot,20,27,18,24,8,16
CPP_63.dot,10,14,0,0,5,10
CPP_78.dot,5,6,2,2,2,4
CPP_82.dot,5,7,0,0,3,6
CPP_8.dot,11,17,0,0,7,14
CPP_56.dot,6,9,2,2,3,6
CPP_150.dot,3,3,0,0,1,2
CPP_40.dot,10,16,7,11,7,14
CPP_133.dot,8,11,0,0,4,8
CPP_98.dot,8,11,0,0,4,8
CPP_53.dot,0,0,0,0,0,0
CPP_45.dot,0,0,0,0,0,0
CPP_2.dot,3,2,0,0,0,0
CPP_41.dot,0,0,0,0,0,0
CPP_35.dot,7,11,0,0,5,10
CPP_92.dot,3,3,0,0,1,2
CPP_11.dot,12,18,0,0,6,12
CPP_108.dot,0,0,0,0,0,0
CPP_121.dot,8,12,0,0,5,10
CPP_134.dot,8,13,0,0,6,12
CPP_102.dot,4,5,0,0,2,4
CPP_73.dot,3,4,0,0,2,4
CPP_24.dot,4,6,2,2,3,6
CPP_59.dot,5,8,4,7,3,6
CPP_60.dot,0,0,0,0,0,0
CPP_3.dot,6,9,2,2,4,8
CPP_132.dot,6,8,2,2,3,6
CPP_36.dot,5,8,3,5,4,8
CPP_142.dot,8,12,5,8,4,9
CPP_71.dot,0,0,0,0,0,0
CPP_127.dot,8,12,2,2,4,8
CPP_52.dot,6,9,2,2,4,8
CPP_126.dot,9,13,0,0,5,10
CPP_12.dot,7,10,0,0,4,8
CPP_49.dot,7,11,0,0,5,10
CPP_109.dot,10,16,0,0,6,12
CPP_77.dot,3,3,0,0,1,2
CPP_96.dot,26,37,0,0,12,24
CPP_135.dot,7,11,2,2,5,10
CPP_75.dot,5,8,3,5,4,8
CPP_157.dot,5,7,0,0,3,6
CPP_136.dot,8,12,5,7,4,8
CPP_61.dot,6,8,2,2,3,6
CPP_159.dot,5,5,0,0,1,2
CPP_163.dot,22,28,0,0,8,16
CPP_68.dot,0,0,0,0,0,0
CPP_128.dot,8,12,0,0,4,8
CPP_57.dot,7,12,0,0,5,10
CPP_31.dot,5,7,0,0,3,6
CPP_83.dot,13,21,0,0,9,18
CPP_139.dot,7,11,0,0,5,10
CPP_0.dot,8,13,5,7,5,10
CPP_23.dot,0,0,0,0,0,0
CPP_151.dot,7,9,4,6,3,6
CPP_66.dot,11,17,0,0,7,14
CPP_43.dot,9,14,5,8,5,11
CPP_46.dot,8,12,0,0,5,10
CPP_85.dot,8,12,0,0,5,10
CPP_55.dot,8,13,0,0,6,12
