file_name,overall_nodes,overall_edges,loop_nodes,loop_edges,branch_nodes,branch_edges
CPP_97.dot,0,0,0,0,0,0
CPP_21.dot,0,0,0,0,0,0
CPP_62.dot,19,26,0,0,7,15
CPP_114.dot,0,0,0,0,0,0
CPP_36.dot,0,0,0,0,0,0
CPP_107.dot,0,0,0,0,0,0
CPP_17.dot,0,0,0,0,0,0
CPP_72.dot,0,0,0,0,0,0
CPP_103.dot,0,0,0,0,0,0
CPP_48.dot,0,0,0,0,0,0
CPP_155.dot,15,18,5,6,4,8
CPP_7.dot,0,0,0,0,0,0
CPP_87.dot,20,21,4,4,2,4
CPP_15.dot,49,70,0,0,14,42
CPP_16.dot,0,0,0,0,0,0
CPP_30.dot,23,29,18,24,8,16
CPP_79.dot,0,0,0,0,0,0
CPP_55.dot,18,19,0,0,2,4
CPP_64.dot,0,0,0,0,0,0
CPP_141.dot,27,42,8,12,16,32
CPP_56.dot,0,0,0,0,0,0
CPP_98.dot,0,0,0,0,0,0
CPP_71.dot,28,30,0,0,3,6
CPP_74.dot,14,20,2,2,7,14
CPP_116.dot,26,35,7,15,8,18
CPP_119.dot,0,0,0,0,0,0
CPP_144.dot,0,0,0,0,0,0
CPP_93.dot,0,0,0,0,0,0
CPP_78.dot,12,17,7,12,6,12
CPP_28.dot,0,0,0,0,0,0
CPP_89.dot,0,0,0,0,0,0
CPP_131.dot,0,0,0,0,0,0
CPP_6.dot,0,0,0,0,0,0
CPP_84.dot,0,0,0,0,0,0
CPP_163.dot,0,0,0,0,0,0
CPP_129.dot,0,0,0,0,0,0
CPP_159.dot,0,0,0,0,0,0
CPP_138.dot,0,0,0,0,0,0
CPP_3.dot,29,44,0,0,16,32
CPP_80.dot,0,0,0,0,0,0
CPP_24.dot,5,6,2,2,2,4
CPP_11.dot,14,14,0,0,1,2
CPP_12.dot,15,15,0,0,1,3
CPP_158.dot,0,0,0,0,0,0
CPP_4.dot,0,0,0,0,0,0
CPP_109.dot,0,0,0,0,0,0
CPP_151.dot,0,0,0,0,0,0
CPP_26.dot,0,0,0,0,0,0
CPP_39.dot,0,0,0,0,0,0
CPP_135.dot,0,0,0,0,0,0
CPP_43.dot,0,0,0,0,0,0
CPP_110.dot,0,0,0,0,0,0
CPP_31.dot,10,15,5,9,6,13
CPP_2.dot,0,0,0,0,0,0
CPP_102.dot,0,0,0,0,0,0
CPP_157.dot,11,14,0,0,4,8
CPP_118.dot,0,0,0,0,0,0
CPP_67.dot,20,28,2,3,9,18
