Test File,Golden File,Comparison Result,Incorrectness Score
CPP_0.dot,CPP_0.dot,Incorrect,2l
CPP_1.dot,CPP_1.dot,Incorrect,20
CPP_2.dot,CPP_2.dot,Incorrect,10
CPP_3.dot,CPP_3.dot,Incorrect,18
CPP_4.dot,CPP_4.dot,Incorrect,40
CPP_6.dot,CPP_6.dot,Incorrect,60
CPP_7.dot,CPP_7.dot,Incorrect,83
CPP_8.dot,CPP_8.dot,Incorrect,14
CPP_9.dot,CPP_9.dot,Incorrect,53
CPP_11.dot,CPP_11.dot,Incorrect,35
CPP_12.dot,CPP_12.dot,Incorrect,13
CPP_13.dot,CPP_13.dot,Incorrect,7
CPP_14.dot,CPP_14.dot,Incorrect,68
CPP_15.dot,CPP_15.dot,Incorrect,58
CPP_16.dot,CPP_16.dot,Incorrect,302
CPP_17.dot,CPP_17.dot,Incorrect,34
CPP_18.dot,CPP_18.dot,Incorrect,18
CPP_19.dot,CPP_19.dot,Incorrect,132
CPP_20.dot,CPP_20.dot,Incorrect,53
CPP_21.dot,CPP_21.dot,Incorrect,20
CPP_23.dot,CPP_23.dot,Incorrect,4
CPP_24.dot,CPP_24.dot,Incorrect,10
CPP_25.dot,CPP_25.dot,Incorrect,66
CPP_26.dot,CPP_26.dot,Incorrect,109
CPP_27.dot,CPP_27.dot,Incorrect,71
CPP_28.dot,CPP_28.dot,Incorrect,66
CPP_29.dot,CPP_29.dot,Incorrect,24
CPP_31.dot,CPP_31.dot,Incorrect,16
CPP_32.dot,CPP_32.dot,Incorrect,53
CPP_33.dot,CPP_33.dot,Incorrect,47
CPP_34.dot,CPP_34.dot,Incorrect,37
CPP_35.dot,CPP_35.dot,Incorrect,16
CPP_36.dot,CPP_36.dot,Incorrect,14
CPP_37.dot,CPP_37.dot,Incorrect,28
CPP_38.dot,CPP_38.dot,Incorrect,57
CPP_39.dot,CPP_39.dot,Incorrect,13
CPP_40.dot,CPP_40.dot,Incorrect,17
CPP_41.dot,CPP_41.dot,Incorrect,6
CPP_42.dot,CPP_42.dot,Incorrect,16
CPP_43.dot,CPP_43.dot,Incorrect,23
CPP_44.dot,CPP_44.dot,Incorrect,69
CPP_45.dot,CPP_45.dot,Incorrect,3
CPP_46.dot,CPP_46.dot,Incorrect,12
CPP_47.dot,CPP_47.dot,Incorrect,14
CPP_49.dot,CPP_49.dot,Incorrect,22
CPP_50.dot,CPP_50.dot,Incorrect,67
CPP_51.dot,CPP_51.dot,Incorrect,112
CPP_52.dot,CPP_52.dot,Incorrect,17
CPP_53.dot,CPP_53.dot,Incorrect,3
CPP_54.dot,CPP_54.dot,Incorrect,58
CPP_55.dot,CPP_55.dot,Incorrect,21
CPP_56.dot,CPP_56.dot,Incorrect,16
CPP_57.dot,CPP_57.dot,Incorrect,17
CPP_59.dot,CPP_59.dot,Incorrect,14
CPP_60.dot,CPP_60.dot,Incorrect,10
CPP_61.dot,CPP_61.dot,Incorrect,10
CPP_62.dot,CPP_62.dot,Incorrect,49
CPP_63.dot,CPP_63.dot,Incorrect,21
CPP_64.dot,CPP_64.dot,Incorrect,43
CPP_66.dot,CPP_66.dot,Incorrect,164
CPP_67.dot,CPP_67.dot,Incorrect,97
CPP_68.dot,CPP_68.dot,Incorrect,21
CPP_71.dot,CPP_71.dot,Incorrect,7
CPP_72.dot,CPP_72.dot,Incorrect,17
CPP_73.dot,CPP_73.dot,Incorrect,9
CPP_74.dot,CPP_74.dot,Incorrect,31
CPP_75.dot,CPP_75.dot,Incorrect,13
CPP_76.dot,CPP_76.dot,Incorrect,11
CPP_77.dot,CPP_77.dot,Incorrect,8
CPP_78.dot,CPP_78.dot,Incorrect,26
CPP_79.dot,CPP_79.dot,Incorrect,71
CPP_80.dot,CPP_80.dot,Incorrect,19
CPP_81.dot,CPP_81.dot,Incorrect,22
CPP_82.dot,CPP_82.dot,Incorrect,15
CPP_83.dot,CPP_83.dot,Incorrect,39
CPP_84.dot,CPP_84.dot,Incorrect,204
CPP_85.dot,CPP_85.dot,Incorrect,22
CPP_86.dot,CPP_86.dot,Incorrect,73
CPP_87.dot,CPP_87.dot,Incorrect,45
CPP_88.dot,CPP_88.dot,Incorrect,45
CPP_89.dot,CPP_89.dot,Incorrect,25
CPP_90.dot,CPP_90.dot,Incorrect,2036
CPP_91.dot,CPP_91.dot,Incorrect,26
CPP_92.dot,CPP_92.dot,Incorrect,9
CPP_93.dot,CPP_93.dot,Incorrect,33
CPP_94.dot,CPP_94.dot,Incorrect,96
CPP_95.dot,CPP_95.dot,Incorrect,46
CPP_96.dot,CPP_96.dot,Incorrect,68
CPP_97.dot,CPP_97.dot,Incorrect,7
CPP_98.dot,CPP_98.dot,Incorrect,23
CPP_99.dot,CPP_99.dot,Incorrect,6
CPP_100.dot,CPP_100.dot,Incorrect,16
CPP_101.dot,CPP_101.dot,Incorrect,68
CPP_102.dot,CPP_102.dot,Incorrect,10
CPP_103.dot,CPP_103.dot,Incorrect,51
CPP_104.dot,CPP_104.dot,Incorrect,24
CPP_105.dot,CPP_105.dot,Incorrect,71
CPP_106.dot,CPP_106.dot,Incorrect,25
CPP_107.dot,CPP_107.dot,Incorrect,73
CPP_108.dot,CPP_108.dot,Incorrect,23
CPP_109.dot,CPP_109.dot,Incorrect,17
CPP_110.dot,CPP_110.dot,Incorrect,24
CPP_111.dot,CPP_111.dot,Incorrect,615
CPP_112.dot,CPP_112.dot,Incorrect,82
CPP_113.dot,CPP_113.dot,Incorrect,32
CPP_114.dot,CPP_114.dot,Incorrect,18
CPP_115.dot,CPP_115.dot,Incorrect,36
CPP_116.dot,CPP_116.dot,Incorrect,73
CPP_117.dot,CPP_117.dot,Incorrect,27
CPP_119.dot,CPP_119.dot,Incorrect,36
CPP_121.dot,CPP_121.dot,Incorrect,22
CPP_122.dot,CPP_122.dot,Incorrect,14
CPP_123.dot,CPP_123.dot,Incorrect,83
CPP_124.dot,CPP_124.dot,Incorrect,62
CPP_125.dot,CPP_125.dot,Incorrect,161
CPP_126.dot,CPP_126.dot,Incorrect,21
CPP_127.dot,CPP_127.dot,Incorrect,22
CPP_128.dot,CPP_128.dot,Incorrect,21
CPP_129.dot,CPP_129.dot,Incorrect,70
CPP_130.dot,CPP_130.dot,Incorrect,31
CPP_131.dot,CPP_131.dot,Incorrect,235
CPP_132.dot,CPP_132.dot,Incorrect,9
CPP_133.dot,CPP_133.dot,Incorrect,21
CPP_134.dot,CPP_134.dot,Incorrect,24
CPP_135.dot,CPP_135.dot,Incorrect,24
CPP_136.dot,CPP_136.dot,Incorrect,21
CPP_138.dot,CPP_138.dot,Incorrect,6
CPP_139.dot,CPP_139.dot,Incorrect,18
CPP_140.dot,CPP_140.dot,Incorrect,116
CPP_141.dot,CPP_141.dot,Incorrect,71
CPP_142.dot,CPP_142.dot,Incorrect,20
CPP_143.dot,CPP_143.dot,Incorrect,120
CPP_144.dot,CPP_144.dot,Incorrect,80
CPP_145.dot,CPP_145.dot,Incorrect,32
CPP_146.dot,CPP_146.dot,Incorrect,114
CPP_147.dot,CPP_147.dot,Incorrect,59
CPP_148.dot,CPP_148.dot,Incorrect,12
CPP_149.dot,CPP_149.dot,Incorrect,150
CPP_150.dot,CPP_150.dot,Incorrect,7
CPP_151.dot,CPP_151.dot,Incorrect,19
CPP_152.dot,CPP_152.dot,Incorrect,59
CPP_153.dot,CPP_153.dot,Incorrect,104
CPP_154.dot,CPP_154.dot,Incorrect,78
CPP_155.dot,CPP_155.dot,Incorrect,29
CPP_156.dot,CPP_156.dot,Incorrect,204
CPP_157.dot,CPP_157.dot,Incorrect,15
CPP_158.dot,CPP_158.dot,Incorrect,119
CPP_159.dot,CPP_159.dot,Incorrect,7
CPP_160.dot,CPP_160.dot,Incorrect,43
CPP_161.dot,CPP_161.dot,Incorrect,43
CPP_162.dot,CPP_162.dot,Incorrect,97
CPP_163.dot,CPP_163.dot,Incorrect,20
