file_name,overall_nodes,overall_edges,loop_nodes,loop_edges,branch_nodes,branch_edges
CPP_97.dot,4,3,0,0,0,0
CPP_21.dot,17,22,2,2,7,14
CPP_62.dot,23,25,0,0,6,12
CPP_114.dot,8,10,0,0,3,6
CPP_36.dot,6,8,0,0,3,6
CPP_107.dot,31,40,5,6,8,18
CPP_17.dot,45,43,0,0,4,8
CPP_72.dot,7,9,2,2,3,6
CPP_103.dot,24,26,0,0,3,6
CPP_48.dot,0,0,0,0,0,0
CPP_155.dot,20,24,0,0,4,9
CPP_7.dot,34,34,0,0,3,6
CPP_33.dot,41,45,2,2,7,14
CPP_87.dot,21,23,0,0,5,10
CPP_15.dot,28,29,0,0,5,10
CPP_16.dot,151,150,0,0,0,0
CPP_30.dot,0,0,0,0,0,0
CPP_120.dot,0,0,0,0,0,0
CPP_79.dot,34,34,2,2,5,10
CPP_55.dot,8,13,2,3,4,9
CPP_64.dot,17,25,0,0,1,9
CPP_19.dot,66,66,0,0,1,2
CPP_141.dot,31,32,0,0,5,10
CPP_56.dot,7,8,2,2,2,4
CPP_98.dot,10,12,6,6,3,6
CPP_71.dot,3,3,0,0,1,2
CPP_74.dot,13,17,0,0,4,8
CPP_125.dot,79,81,0,0,3,6
CPP_116.dot,32,38,2,2,9,19
CPP_113.dot,16,16,0,0,2,4
CPP_119.dot,49,50,0,0,7,15
CPP_65.dot,0,0,0,0,0,0
CPP_144.dot,33,46,0,0,13,27
CPP_93.dot,43,43,0,0,6,12
CPP_78.dot,11,14,0,0,1,5
CPP_28.dot,30,35,0,0,9,18
CPP_89.dot,31,37,2,2,8,17
CPP_131.dot,118,117,0,0,4,8
CPP_6.dot,52,51,0,0,0,0
CPP_37.dot,30,31,0,0,2,4
CPP_112.dot,38,41,0,0,6,14
CPP_84.dot,101,102,0,0,4,8
CPP_163.dot,21,27,13,20,8,17
CPP_129.dot,35,35,0,0,2,4
CPP_159.dot,6,6,0,0,1,2
CPP_138.dot,3,2,0,0,0,0
CPP_3.dot,7,10,3,5,4,8
CPP_80.dot,8,10,0,0,2,4
CPP_24.dot,5,8,4,7,3,6
CPP_11.dot,15,19,0,0,4,9
CPP_12.dot,12,15,5,6,3,6
CPP_158.dot,54,62,0,0,6,19
CPP_4.dot,15,24,0,0,8,17
CPP_109.dot,12,15,0,0,3,7
CPP_151.dot,7,12,0,0,4,9
CPP_26.dot,53,55,0,0,3,6
CPP_39.dot,5,7,4,6,3,6
CPP_135.dot,8,16,2,3,6,14
CPP_43.dot,10,12,3,4,3,6
CPP_110.dot,25,26,0,0,4,9
CPP_31.dot,6,9,0,0,3,6
CPP_90.dot,1001,1034,0,0,33,67
CPP_2.dot,5,4,0,0,0,0
CPP_102.dot,4,5,0,0,2,4
CPP_157.dot,6,8,0,0,3,6
CPP_118.dot,0,0,0,0,0,0
CPP_67.dot,42,50,0,0,10,21
CPP_133.dot,9,12,0,0,3,6
CPP_82.dot,6,8,0,0,2,4
CPP_111.dot,52,51,0,0,0,0
CPP_23.dot,2,1,0,0,0,0
CPP_134.dot,9,14,0,0,5,10
CPP_128.dot,9,11,0,0,3,6
CPP_61.dot,7,10,2,2,3,6
CPP_95.dot,20,25,0,0,5,11
CPP_34.dot,38,37,0,0,4,11
CPP_162.dot,42,48,22,25,10,20
CPP_1.dot,25,26,0,0,4,8
CPP_149.dot,74,73,0,0,0,0
CPP_150.dot,4,6,0,0,2,4
CPP_9.dot,23,29,12,16,7,16
CPP_25.dot,32,34,5,6,11,22
CPP_76.dot,4,6,2,3,2,4
CPP_137.dot,0,0,0,0,0,0
CPP_101.dot,36,36,0,0,6,13
CPP_83.dot,14,24,0,0,11,23
CPP_46.dot,10,12,0,0,3,6
CPP_47.dot,6,7,0,0,1,3
CPP_81.dot,19,19,0,0,2,4
CPP_20.dot,23,26,0,0,6,13
CPP_108.dot,10,13,0,0,4,8
CPP_41.dot,3,2,0,0,0,0
CPP_146.dot,56,58,0,0,3,6
CPP_42.dot,12,17,2,3,5,10
