file_name,overall_nodes,overall_edges,loop_nodes,loop_edges,branch_nodes,branch_edges
CPP_97.dot,8,7,0,0,0,0
CPP_21.dot,19,23,0,0,4,8
CPP_62.dot,6,7,2,3,2,4
CPP_114.dot,16,15,0,0,0,0
CPP_36.dot,6,9,3,5,4,8
CPP_72.dot,8,10,2,2,3,6
CPP_48.dot,13,12,0,0,0,0
CPP_155.dot,0,0,0,0,0,0
CPP_16.dot,25,24,0,0,0,0
CPP_30.dot,0,0,0,0,0,0
CPP_55.dot,24,23,0,0,0,0
CPP_64.dot,0,0,0,0,0,0
CPP_141.dot,0,0,0,0,0,0
CPP_56.dot,10,13,0,0,3,7
CPP_98.dot,34,33,0,0,0,0
CPP_71.dot,3,3,0,0,1,2
CPP_74.dot,0,0,0,0,0,0
CPP_116.dot,23,30,13,18,9,18
CPP_78.dot,0,0,0,0,0,0
CPP_28.dot,24,24,0,0,1,2
CPP_89.dot,0,0,0,0,0,0
CPP_131.dot,0,0,0,0,0,0
CPP_6.dot,0,0,0,0,0,0
CPP_163.dot,50,52,41,43,3,6
CPP_159.dot,5,4,0,0,0,0
CPP_138.dot,6,5,0,0,0,0
CPP_3.dot,10,11,0,0,2,4
CPP_80.dot,5,5,0,0,1,2
CPP_24.dot,5,7,2,2,3,6
CPP_11.dot,9,13,2,2,5,10
CPP_12.dot,7,8,0,0,2,4
CPP_4.dot,0,0,0,0,0,0
CPP_109.dot,11,15,2,3,5,10
CPP_151.dot,9,10,4,5,2,4
CPP_39.dot,7,9,0,0,3,6
CPP_135.dot,38,37,0,0,0,0
CPP_43.dot,9,11,0,0,3,6
CPP_31.dot,7,9,0,0,3,6
CPP_2.dot,0,0,0,0,0,0
CPP_102.dot,6,7,0,0,2,4
CPP_157.dot,10,12,0,0,3,6
CPP_133.dot,20,20,0,0,1,2
CPP_82.dot,15,18,0,0,4,8
CPP_23.dot,2,1,0,0,0,0
CPP_134.dot,0,0,0,0,0,0
CPP_128.dot,21,20,0,0,0,0
CPP_61.dot,12,13,0,0,2,4
CPP_95.dot,0,0,0,0,0,0
CPP_150.dot,5,7,0,0,3,6
CPP_9.dot,17,21,2,3,5,11
CPP_25.dot,35,36,0,0,2,4
CPP_76.dot,5,6,0,0,2,4
CPP_83.dot,29,34,0,0,6,12
CPP_46.dot,18,18,0,0,1,2
CPP_108.dot,9,12,5,8,4,8
CPP_41.dot,3,2,0,0,0,0
CPP_146.dot,27,26,0,0,0,0
CPP_42.dot,13,18,0,0,6,12
CPP_92.dot,4,4,0,0,1,2
CPP_18.dot,15,20,0,0,5,11
CPP_63.dot,16,20,0,0,5,10
CPP_115.dot,14,13,0,0,0,0
CPP_66.dot,14,17,0,0,3,6
CPP_96.dot,0,0,0,0,0,0
CPP_99.dot,7,6,0,0,0,0
CPP_45.dot,4,3,0,0,0,0
CPP_124.dot,0,0,0,0,0,0
CPP_121.dot,5,5,0,0,1,2
CPP_0.dot,10,14,5,7,5,10
CPP_60.dot,2,1,0,0,0,0
CPP_8.dot,13,19,0,0,7,14
CPP_68.dot,0,0,0,0,0,0
CPP_75.dot,8,11,3,5,4,8
CPP_52.dot,7,9,2,2,3,6
CPP_35.dot,9,12,2,2,4,8
CPP_100.dot,18,21,10,13,5,10
CPP_77.dot,4,4,0,0,1,2
CPP_106.dot,49,64,45,59,12,28
CPP_40.dot,11,14,7,9,4,8
CPP_136.dot,9,10,5,6,2,4
CPP_85.dot,0,0,0,0,0,0
CPP_139.dot,7,11,0,0,4,8
CPP_57.dot,43,42,0,0,0,0
CPP_59.dot,9,12,0,0,4,8
CPP_132.dot,10,12,2,2,3,6
CPP_27.dot,0,0,0,0,0,0
CPP_91.dot,10,9,0,0,0,0
CPP_73.dot,5,6,0,0,2,4
CPP_152.dot,0,0,0,0,0,0
CPP_142.dot,14,13,0,0,0,0
CPP_49.dot,9,13,0,0,5,10
CPP_130.dot,38,46,0,0,8,18
CPP_122.dot,9,11,0,0,3,6
CPP_5.dot,0,0,0,0,0,0
CPP_13.dot,4,4,0,0,1,2
CPP_53.dot,4,3,0,0,0,0
CPP_126.dot,32,34,0,0,3,6
CPP_127.dot,0,0,0,0,0,0
