Filename,Token Length
CPP_139.bc,2114
CPP_40.bc,7971
CPP_82.bc,3456
CPP_76.bc,2633
CPP_49.bc,1971
CPP_108.bc,7708
CPP_71.bc,4769
CPP_85.bc,6192
CPP_13.bc,2177
CPP_109.bc,7651
CPP_77.bc,2827
CPP_83.bc,2586
CPP_41.bc,1096
CPP_138.bc,1643
CPP_46.bc,3356
CPP_154.bc,14679
CPP_12.bc,11867
CPP_23.bc,1860
CPP_24.bc,2334
CPP_0.bc,7900
CPP_39.bc,3855
CPP_122.bc,4657
CPP_63.bc,3020
CPP_97.bc,1626
CPP_55.bc,2692
CPP_99.bc,2618
CPP_114.bc,7156
CPP_52.bc,5898
CPP_31.bc,2514
CPP_36.bc,3133
CPP_115.bc,11595
CPP_53.bc,1149
CPP_124.bc,11055
CPP_91.bc,6767
CPP_28.bc,16369
CPP_151.bc,8707
CPP_43.bc,6879
CPP_102.bc,2458
CPP_72.bc,6999
CPP_134.bc,5752
CPP_75.bc,3224
CPP_133.bc,6844
CPP_150.bc,3060
CPP_157.bc,3995
CPP_11.bc,11801
CPP_18.bc,10552
CPP_27.bc,12614
CPP_80.bc,5168
CPP_132.bc,5405
CPP_73.bc,6290
CPP_135.bc,5776
CPP_45.bc,1291
CPP_89.bc,10171
CPP_126.bc,7674
CPP_60.bc,1132
CPP_121.bc,6121
CPP_128.bc,7666
CPP_110.bc,11850
CPP_56.bc,4934
CPP_4.bc,8225
CPP_144.bc,9651
CPP_3.bc,5973
CPP_57.bc,7425
CPP_50.bc,14378
CPP_59.bc,2645
CPP_66.bc,4365
CPP_92.bc,4154
CPP_127.bc,12743
CPP_61.bc,4934
CPP_35.bc,6130
CPP_2.bc,1168
CPP_142.bc,7798
