Filename,Token Length
CPP_47.bc,21782
CPP_101.bc,47496
CPP_78.bc,8893
CPP_139.bc,1724
CPP_40.bc,4750
CPP_106.bc,11962
CPP_82.bc,2711
CPP_76.bc,1723
CPP_130.bc,16832
CPP_49.bc,1542
CPP_108.bc,4180
CPP_71.bc,2173
CPP_85.bc,3141
CPP_137.bc,228614
CPP_163.bc,10581
CPP_25.bc,12267
CPP_22.bc,124688
CPP_152.bc,11534
CPP_14.bc,38535
CPP_155.bc,13681
CPP_13.bc,1519
CPP_84.bc,25469
CPP_70.bc,31742
CPP_109.bc,3578
CPP_136.bc,6260
CPP_77.bc,1670
CPP_83.bc,1802
CPP_48.bc,7539
CPP_131.bc,9948
CPP_41.bc,1015
CPP_138.bc,1094
CPP_107.bc,18552
CPP_46.bc,3661
CPP_79.bc,36141
CPP_100.bc,11581
CPP_154.bc,19698
CPP_12.bc,6846
CPP_153.bc,19138
CPP_15.bc,27203
CPP_23.bc,1846
CPP_162.bc,25308
CPP_24.bc,1669
CPP_0.bc,4302
CPP_140.bc,62652
CPP_39.bc,2470
CPP_7.bc,30993
CPP_147.bc,104791
CPP_37.bc,35152
CPP_149.bc,131128
CPP_30.bc,10589
CPP_9.bc,11266
CPP_122.bc,2743
CPP_90.bc,21387
CPP_64.bc,8386
CPP_125.bc,97390
CPP_63.bc,3367
CPP_97.bc,1333
CPP_113.bc,58673
CPP_55.bc,3084
CPP_99.bc,2653
CPP_114.bc,3120
CPP_52.bc,3498
CPP_31.bc,1880
CPP_148.bc,59497
CPP_8.bc,5888
CPP_36.bc,2214
CPP_6.bc,17899
CPP_146.bc,11613
CPP_1.bc,34665
CPP_38.bc,59914
CPP_141.bc,14747
CPP_115.bc,5448
CPP_98.bc,9017
CPP_53.bc,1008
CPP_112.bc,59820
CPP_54.bc,11683
CPP_124.bc,15108
CPP_96.bc,12438
CPP_62.bc,11349
CPP_123.bc,29654
CPP_65.bc,36653
CPP_91.bc,3391
CPP_21.bc,5285
CPP_158.bc,24974
CPP_19.bc,187057
CPP_160.bc,31150
CPP_26.bc,28813
CPP_156.bc,45308
CPP_10.bc,44252
CPP_28.bc,15878
CPP_151.bc,4157
CPP_17.bc,29845
CPP_43.bc,3961
CPP_88.bc,30827
CPP_105.bc,114201
CPP_44.bc,18219
CPP_102.bc,1501
CPP_72.bc,3605
CPP_86.bc,57695
CPP_134.bc,3458
CPP_81.bc,97254
CPP_75.bc,2278
CPP_133.bc,3566
CPP_150.bc,1770
CPP_29.bc,35676
CPP_16.bc,10312
CPP_157.bc,2315
CPP_11.bc,7288
CPP_161.bc,20134
CPP_18.bc,10394
CPP_27.bc,13549
CPP_159.bc,5832
CPP_20.bc,16107
CPP_74.bc,7435
CPP_80.bc,3731
CPP_132.bc,3630
CPP_87.bc,23310
CPP_73.bc,3124
CPP_135.bc,3258
CPP_45.bc,1061
CPP_103.bc,21306
CPP_42.bc,4171
CPP_104.bc,30004
CPP_89.bc,13088
CPP_126.bc,3561
CPP_60.bc,1051
CPP_119.bc,22171
CPP_94.bc,17287
CPP_58.bc,37235
CPP_121.bc,3364
CPP_93.bc,19272
CPP_67.bc,24967
CPP_117.bc,53715
CPP_51.bc,19073
CPP_128.bc,3625
CPP_69.bc,26421
CPP_110.bc,6975
CPP_56.bc,3605
CPP_4.bc,4376
CPP_144.bc,23085
CPP_3.bc,3522
CPP_143.bc,38470
CPP_33.bc,34330
CPP_34.bc,33017
CPP_111.bc,55440
CPP_68.bc,12617
CPP_57.bc,3263
CPP_116.bc,16115
CPP_129.bc,22932
CPP_50.bc,22749
CPP_120.bc,24835
CPP_59.bc,2099
CPP_66.bc,2884
CPP_92.bc,1995
CPP_127.bc,6530
CPP_95.bc,12214
CPP_118.bc,25884
CPP_61.bc,3605
CPP_35.bc,3277
CPP_32.bc,12818
CPP_2.bc,1073
CPP_142.bc,3899
CPP_5.bc,12875
CPP_145.bc,24970
