Filename,Token Length
CPP_78.bc,5485
CPP_139.bc,3417
CPP_40.bc,4440
CPP_106.bc,11308
CPP_82.bc,2669
CPP_76.bc,1683
CPP_130.bc,13474
CPP_49.bc,2532
CPP_108.bc,3996
CPP_71.bc,2178
CPP_85.bc,6250
CPP_163.bc,8333
CPP_25.bc,11764
CPP_152.bc,9452
CPP_13.bc,1479
CPP_109.bc,5698
CPP_136.bc,5615
CPP_77.bc,1635
CPP_83.bc,4535
CPP_48.bc,13986
CPP_131.bc,11176
CPP_41.bc,1015
CPP_138.bc,1094
CPP_46.bc,5061
CPP_100.bc,8175
CPP_12.bc,7235
CPP_23.bc,1846
CPP_24.bc,1629
CPP_0.bc,4233
CPP_39.bc,2285
CPP_30.bc,10461
CPP_9.bc,8968
CPP_122.bc,7133
CPP_64.bc,6758
CPP_63.bc,4711
CPP_97.bc,1343
CPP_55.bc,5481
CPP_99.bc,2663
CPP_114.bc,4386
CPP_52.bc,3434
CPP_31.bc,1780
CPP_8.bc,9070
CPP_36.bc,2171
CPP_146.bc,11641
CPP_115.bc,9943
CPP_98.bc,5382
CPP_53.bc,1008
CPP_54.bc,12152
CPP_124.bc,14397
CPP_96.bc,10278
CPP_62.bc,9225
CPP_91.bc,4868
CPP_21.bc,10169
CPP_28.bc,15656
CPP_151.bc,4120
CPP_43.bc,3841
CPP_102.bc,1501
CPP_72.bc,3563
CPP_134.bc,3458
CPP_75.bc,2234
CPP_133.bc,4800
CPP_150.bc,1730
CPP_16.bc,11831
CPP_157.bc,2330
CPP_11.bc,7146
CPP_18.bc,10198
CPP_27.bc,13131
CPP_159.bc,4115
CPP_74.bc,11214
CPP_80.bc,3594
CPP_132.bc,3591
CPP_73.bc,3082
CPP_135.bc,5122
CPP_45.bc,1061
CPP_42.bc,7345
CPP_89.bc,12923
CPP_126.bc,3561
CPP_60.bc,1051
CPP_121.bc,6457
CPP_128.bc,5056
CPP_56.bc,3135
CPP_4.bc,8542
CPP_3.bc,3483
CPP_68.bc,12659
CPP_57.bc,5549
CPP_116.bc,12975
CPP_59.bc,2055
CPP_66.bc,7412
CPP_92.bc,2010
CPP_127.bc,6453
CPP_95.bc,11376
CPP_61.bc,3135
CPP_35.bc,4986
CPP_2.bc,1073
CPP_142.bc,3857
CPP_5.bc,14413
