Filename,Token Length
CPP_139.bc,3417
CPP_82.bc,2669
CPP_76.bc,1683
CPP_49.bc,2532
CPP_108.bc,3996
CPP_71.bc,2178
CPP_13.bc,1479
CPP_77.bc,1635
CPP_83.bc,4535
CPP_41.bc,1015
CPP_138.bc,1094
CPP_23.bc,1846
CPP_24.bc,1629
CPP_0.bc,4233
CPP_39.bc,2285
CPP_63.bc,4711
CPP_97.bc,1343
CPP_99.bc,2663
CPP_114.bc,4386
CPP_52.bc,3434
CPP_36.bc,2171
CPP_53.bc,1008
CPP_91.bc,4868
CPP_151.bc,4120
CPP_43.bc,3841
CPP_102.bc,1501
CPP_72.bc,3563
CPP_134.bc,3458
CPP_75.bc,2234
CPP_133.bc,4800
CPP_150.bc,1730
CPP_157.bc,2330
CPP_159.bc,4115
CPP_80.bc,3594
CPP_132.bc,3591
CPP_73.bc,3082
CPP_45.bc,1061
CPP_126.bc,3561
CPP_60.bc,1051
CPP_128.bc,5056
CPP_56.bc,3135
CPP_3.bc,3483
CPP_92.bc,2010
CPP_61.bc,3135
CPP_35.bc,4986
CPP_2.bc,1075
CPP_142.bc,3857
